cand,family,series,kind,periods,pub_lag_days,first_obs,transform,window,sign_IS,SR_IS,SR_OOS,SR_full,SR_full_gross,SR_full_stubcost,SR_of_SR,positive_years,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,tcost_pct_of_gross,gate_srsr,gate_posyr,gate_beta,gate_nyr,gate_oos,n_gates
us_semi_ip_yoy|rankc|w120,semis,us_semi_ip,yoy,12,46,1972-01-01,rankc,120,1,0.489,-0.331,0.255,0.262,0.26,0.248,0.615,26,-0.045,0.03442752664249547,2345,-65.33,6.24,99.66,2.77,False,False,True,True,False,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,46,1972-01-01,selfz,60,1,0.382,-0.105,0.246,0.259,0.255,0.201,0.538,26,-0.024,0.010483798786295713,2502,-51.33,9.97,99.46,4.85,False,False,True,True,False,2
us_term_premium_10y_level|rankc|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,rankc,252,-1,0.445,-0.237,0.243,0.263,0.257,0.265,0.64,25,0.011,-0.007857355313534339,1417,-52.37,16.45,99.51,7.76,False,False,True,True,False,2
cn_leading_idx_level|dev|w60,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,dev,60,1,0.338,-0.028,0.237,0.246,0.243,0.136,0.5,26,-0.027,0.031295560994591125,1570,-73.35,7.42,99.64,3.56,False,False,True,True,False,2
epu_global_level|bdtanh|w60,risk,epu_global,level,0,31,1997-01-01,bdtanh,60,-1,0.351,-0.05,0.237,0.25,0.246,0.185,0.577,26,-0.073,0.012572138103327446,4057,-47.24,10.88,99.71,5.38,False,False,True,True,False,2
us_semi_ip_yoy|dev|w60,semis,us_semi_ip,yoy,12,46,1972-01-01,dev,60,1,0.433,-0.31,0.229,0.238,0.235,0.194,0.538,26,-0.007,0.038349431604314324,2406,-70.44,7.42,99.58,3.6,False,False,True,True,False,2
epu_global_level|robustz|w60,risk,epu_global,level,0,31,1997-01-01,robustz,60,-1,0.453,-0.365,0.229,0.244,0.239,0.271,0.615,26,0.009,0.0678554370321274,2895,-52.07,9.14,98.9,5.99,False,False,True,True,False,2
us_dxy_broad_level|rankc|w60,fx,us_dxy_broad,level,0,0,2006-01-02,rankc,60,-1,0.282,0.134,0.227,0.264,0.251,0.19,0.619,21,-0.182,-0.01394743359338248,972,-50.01,30.71,99.5,13.94,False,False,False,True,True,2
us_semi_ppi_yoy|signth|w60,semis,us_semi_ppi,yoy,12,45,1967-01-01,signth,60,-1,0.347,-0.083,0.226,0.235,0.232,0.256,0.615,26,-0.084,-0.001443931780510699,1757,-82.08,7.54,99.63,4.02,False,False,True,True,False,2
us_term_premium_10y_level|selfz|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,selfz,252,-1,0.426,-0.234,0.226,0.244,0.238,0.28,0.6,25,0.011,-0.0013860599126490417,1004,-46.26,14.1,99.27,7.5,False,False,True,True,False,2
us_dxy_broad_level|signth|w60,fx,us_dxy_broad,level,0,0,2006-01-02,signth,60,-1,0.268,0.151,0.225,0.251,0.243,0.173,0.619,21,-0.16,-0.006322567336544355,2483,-45.41,22.47,99.46,10.54,False,False,False,True,True,2
us_term_premium_10y_level|robustz|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,robustz,252,-1,0.406,-0.175,0.223,0.239,0.234,0.229,0.64,25,-0.047,-0.05392007037157556,1570,-54.1,12.37,99.43,6.49,False,False,True,True,False,2
us_real_10y_level|robustz|w252,rates,us_real_10y,level,0,0,2003-01-02,robustz,252,-1,0.379,-0.079,0.221,0.243,0.236,0.13,0.522,23,-0.136,-0.026126178421374074,1603,-51.33,19.11,99.46,9.12,False,False,True,True,False,2
us_term_premium_10y_level|bdtanh|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,bdtanh,252,-1,0.413,-0.237,0.22,0.237,0.232,0.269,0.6,25,-0.005,-0.011058573477321625,1016,-52.88,13.5,99.52,7.06,False,False,True,True,False,2
us_dxy_broad_level|signth|w120,fx,us_dxy_broad,level,0,0,2006-01-02,signth,120,-1,0.131,0.37,0.219,0.238,0.232,0.225,0.571,21,-0.171,0.005740343882057513,2484,-41.81,16.05,99.9,7.79,False,False,False,True,True,2
us_real_10y_level|rankc|w60,rates,us_real_10y,level,0,0,2003-01-02,rankc,60,-1,0.346,-0.037,0.218,0.266,0.25,0.14,0.542,24,-0.026,-0.0010923873763602552,1420,-56.93,37.65,99.63,18.16,False,False,True,True,False,2
us_recession_prob_level|dev|w120,us_cycle,us_recession_prob,level,0,75,1967-06-01,dev,120,-1,0.395,-0.266,0.217,0.224,0.222,0.04,0.423,26,0.052,-0.04222291109013933,3977,-85.2,5.09,97.49,2.91,False,False,True,True,False,2
us_recession_prob_level|signth|w120,us_cycle,us_recession_prob,level,0,75,1967-06-01,signth,120,-1,0.358,-0.14,0.215,0.223,0.221,0.154,0.423,26,0.14,0.029010302450773014,2284,-56.11,6.32,99.46,3.66,False,False,True,True,False,2
us_semi_ppi_yoy|robustz|w60,semis,us_semi_ppi,yoy,12,45,1967-01-01,robustz,60,-1,0.314,-0.075,0.214,0.226,0.222,0.134,0.577,26,-0.083,0.0273632669692386,1747,-53.57,7.11,98.89,5.27,False,False,True,True,False,2
us_term_premium_10y_level|dev|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,dev,252,-1,0.357,-0.126,0.214,0.23,0.225,0.263,0.64,25,-0.023,-0.029372451118202435,1570,-48.54,13.09,99.44,7.09,False,False,True,True,False,2
cn_leading_idx_level|bdtanh|w120,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,bdtanh,120,1,0.38,-0.198,0.208,0.215,0.212,0.19,0.5,26,-0.022,0.01611539971315193,1703,-85.79,5.17,99.64,3.06,False,False,True,True,False,2
us_empire_state_level|signth|w60,us_survey,us_empire_state,level,0,16,2001-07-01,signth,60,-1,0.377,-0.228,0.206,0.22,0.215,0.15,0.423,26,0.094,-0.004416236041213379,2691,-64.01,11.79,99.25,6.47,False,False,True,True,False,2
us_dgs5_level|bdtanh|w120,rates,us_dgs5,level,0,0,1962-01-02,bdtanh,120,-1,0.333,-0.085,0.205,0.232,0.223,0.312,0.615,26,0.05,-0.02014353033305819,1697,-48.79,21.19,99.66,11.81,False,False,True,True,False,2
us_philly_fed_level|selfz|w60,us_survey,us_philly_fed,level,0,21,1968-05-01,selfz,60,1,0.343,-0.145,0.202,0.219,0.214,0.214,0.577,26,-0.026,0.00046498377406970984,4676,-61.62,12.27,99.48,7.9,False,False,True,True,False,2
us_real_10y_level|dev|w60,rates,us_real_10y,level,0,0,2003-01-02,dev,60,-1,0.318,-0.037,0.199,0.236,0.224,0.137,0.625,24,-0.048,-0.006708522826358807,1547,-47.61,28.58,99.2,15.68,False,False,True,True,False,2
us_dxy_broad_level|dev|w120,fx,us_dxy_broad,level,0,0,2006-01-02,dev,120,-1,0.237,0.135,0.199,0.219,0.212,0.014,0.571,21,-0.24,-0.026718137050401356,1322,-41.0,17.6,99.39,9.16,False,False,False,True,True,2
cn_shanghai_comp_yoy|selfz|w120,cn_cycle,cn_shanghai_comp,yoy,12,31,1999-01-01,selfz,120,1,0.305,-0.101,0.195,0.204,0.201,0.177,0.462,26,-0.005,0.029864808589246287,1712,-59.6,6.81,99.58,4.38,False,False,True,True,False,2
cn_leading_idx_level|rankc|w252,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,rankc,252,1,0.361,-0.187,0.191,0.195,0.194,0.166,0.52,25,-0.07,0.03098267138045772,2345,-81.82,3.44,99.76,1.93,False,False,True,True,False,2
us_semi_ip_nsa_yoy|rankc|w120,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,rankc,120,1,0.403,-0.392,0.187,0.196,0.193,0.165,0.577,26,-0.013,0.01747101887994592,2345,-71.35,7.41,99.66,4.57,False,False,True,True,False,2
us_term_premium_10y_level|signth|w252,rates,us_term_premium_10y,level,0,0,1990-01-02,signth,252,-1,0.325,-0.172,0.185,0.2,0.195,0.168,0.577,26,-0.029,-0.008136095629535331,1760,-56.38,12.8,99.74,7.82,False,False,True,True,False,2
us_semi_ip_yoy|robustz|w60,semis,us_semi_ip,yoy,12,46,1972-01-01,robustz,60,1,0.255,-0.01,0.184,0.197,0.193,0.093,0.538,26,-0.077,0.007549270114312011,3977,-56.55,8.43,98.74,6.43,False,False,True,True,False,2
us_semi_ip_nsa_yoy|selfz|w120,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,selfz,120,1,0.414,-0.446,0.183,0.192,0.189,0.141,0.615,26,0.005,0.010330550903921642,4073,-83.05,7.09,99.62,4.55,False,False,True,True,False,2
cn_leading_idx_level|signth|w60,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,signth,60,1,0.449,-0.478,0.182,0.185,0.184,0.073,0.577,26,-0.117,-0.007561395492851161,1477,-85.31,2.35,97.49,1.67,False,False,True,True,False,2
cn_leading_idx_level|selfz|w120,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,selfz,120,1,0.3,-0.122,0.175,0.184,0.181,0.146,0.538,26,-0.009,0.007997860932448336,1724,-75.79,6.7,99.59,4.8,False,False,True,True,False,2
us_real_10y_level|robustz|w60,rates,us_real_10y,level,0,0,2003-01-02,robustz,60,-1,0.412,-0.284,0.173,0.213,0.2,0.099,0.542,24,-0.027,0.006899232809931092,1420,-57.39,29.32,99.02,19.08,False,False,True,True,False,2
us_electronics_ppi_yoy|signth|w120,semis,us_electronics_ppi,yoy,12,45,1965-12-01,signth,120,-1,0.384,-0.355,0.17,0.176,0.174,0.127,0.577,26,-0.139,-0.03289674583239269,1600,-80.6,5.09,99.92,3.66,False,False,True,True,False,2
us_dxy_broad_level|dev|w60,fx,us_dxy_broad,level,0,0,2006-01-02,dev,60,-1,0.235,0.06,0.17,0.198,0.189,0.014,0.476,21,-0.209,-0.027078686909969132,1321,-47.36,23.59,99.36,14.16,False,False,False,True,True,2
us_semi_ppi_yoy|robustz|w120,semis,us_semi_ppi,yoy,12,45,1967-01-01,robustz,120,-1,0.36,-0.353,0.161,0.169,0.166,0.186,0.52,25,-0.099,0.013900701369375584,1288,-79.01,5.72,99.33,4.8,False,False,True,True,False,2
us_term_premium_10y_level|bdtanh|w120,rates,us_term_premium_10y,level,0,0,1990-01-02,bdtanh,120,-1,0.303,-0.197,0.158,0.18,0.173,0.191,0.615,26,0.012,0.0043790291091471145,1191,-62.21,17.06,99.61,12.12,False,False,True,True,False,2
us_freight_tsi_yoy|selfz|w120,us_cycle,us_freight_tsi,yoy,12,90,2000-01-01,selfz,120,-1,0.228,-0.044,0.156,0.166,0.163,0.152,0.462,26,-0.044,0.009006332221554674,4246,-81.69,8.19,99.17,6.22,False,False,True,True,False,2
us_semi_ip_yoy|bdtanh|w120,semis,us_semi_ip,yoy,12,46,1972-01-01,bdtanh,120,1,0.474,-0.642,0.152,0.158,0.156,0.14,0.577,26,0.002,0.034123699917031354,2401,-107.36,4.93,99.66,3.48,False,False,True,True,False,2
us_philly_fed_level|bdtanh|w60,us_survey,us_philly_fed,level,0,21,1968-05-01,bdtanh,60,1,0.261,-0.138,0.148,0.163,0.158,0.162,0.538,26,-0.023,0.007521462556381932,4676,-80.37,11.56,99.76,9.12,False,False,True,True,False,2
wti_level|signth|w252,commodity,wti,level,0,0,1986-01-02,signth,252,-1,0.256,-0.119,0.148,0.166,0.16,0.206,0.538,26,0.02,-0.055880652251376325,4068,-53.17,15.86,99.31,11.25,False,False,True,True,False,2
us_empire_state_level|bdtanh|w252,us_survey,us_empire_state,level,0,16,2001-07-01,bdtanh,252,1,0.12,0.209,0.147,0.156,0.153,0.115,0.6,25,-0.151,-0.026355422785131963,5536,-84.68,7.57,99.78,5.65,False,False,False,True,True,2
us_dgs5_level|selfz|w120,rates,us_dgs5,level,0,0,1962-01-02,selfz,120,-1,0.245,-0.086,0.144,0.175,0.165,0.223,0.615,26,0.042,-0.016662200967563896,1743,-48.23,23.65,99.3,17.56,False,False,True,True,False,2
cn_leading_idx_level|dev|w252,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,dev,252,1,0.262,-0.144,0.143,0.146,0.145,0.099,0.56,25,-0.063,0.015255614644222409,2403,-79.6,2.51,99.59,1.88,False,False,True,True,False,2
us_dgs5_level|robustz|w252,rates,us_dgs5,level,0,0,1962-01-02,robustz,252,-1,0.29,-0.166,0.143,0.163,0.156,0.167,0.56,25,-0.073,-0.05546986834295822,1583,-48.29,15.6,99.48,11.8,False,False,True,True,False,2
cn_leading_idx_level|bdtanh|w60,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,bdtanh,60,1,0.353,-0.398,0.141,0.153,0.149,0.111,0.615,26,-0.031,0.010629120685023223,1712,-98.57,9.19,99.71,7.79,False,False,True,True,False,2
cn_leading_idx_level|dev|w120,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,dev,120,1,0.266,-0.171,0.141,0.146,0.144,-0.026,0.538,26,-0.041,0.029158660892193138,2393,-80.24,4.13,99.61,3.25,False,False,True,True,False,2
cn_leading_idx_level|rankc|w120,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,rankc,120,1,0.363,-0.375,0.14,0.147,0.144,0.108,0.615,26,-0.071,0.01618834412772875,1432,-97.18,5.83,92.79,4.85,False,False,True,True,False,2
us_semi_ip_nsa_yoy|signth|w120,semis,us_semi_ip_nsa,yoy,12,46,1972-01-01,signth,120,1,0.266,-0.217,0.134,0.14,0.138,0.128,0.577,26,-0.076,0.0005060176612117128,1659,-71.07,5.42,99.44,4.31,False,False,True,True,False,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,46,1972-01-01,selfz,120,1,0.401,-0.603,0.125,0.132,0.13,0.123,0.538,26,-0.016,0.018246031381515218,3977,-108.59,6.29,99.49,5.69,False,False,True,True,False,2
us_semi_ip_yoy|dev|w120,semis,us_semi_ip,yoy,12,46,1972-01-01,dev,120,1,0.449,-0.748,0.125,0.131,0.129,0.13,0.615,26,-0.008,0.048528849102597055,2401,-117.43,5.01,99.45,4.17,False,False,True,True,False,2
kr_exports_sa_yoy|signth|w252,kr_tech_demand,kr_exports_sa,yoy,12,60,1957-01-01,signth,252,-1,0.493,-0.769,0.125,0.132,0.13,0.027,0.423,26,-0.038,-0.017075212227287837,3787,-144.57,5.6,98.07,5.18,False,False,True,True,False,2
wti_level|dev|w252,commodity,wti,level,0,0,1986-01-02,dev,252,-1,0.213,-0.099,0.124,0.144,0.137,0.239,0.56,25,-0.049,-0.07663640328368608,4451,-55.07,17.7,99.44,14.15,False,False,True,True,False,2
us_dgs5_level|rankc|w120,rates,us_dgs5,level,0,0,1962-01-02,rankc,120,-1,0.185,-0.024,0.122,0.156,0.145,0.201,0.615,26,0.041,-0.022929882465914046,1816,-52.45,26.7,99.53,21.84,False,False,True,True,False,2
wti_level|selfz|w252,commodity,wti,level,0,0,1986-01-02,selfz,252,-1,0.205,-0.098,0.117,0.139,0.132,0.238,0.56,25,-0.015,-0.04866435434790752,4431,-59.13,19.07,99.47,15.99,False,False,True,True,False,2
us_recession_prob_level|signth|w60,us_cycle,us_recession_prob,level,0,75,1967-06-01,signth,60,-1,0.311,-0.366,0.115,0.126,0.122,0.102,0.5,26,0.082,0.012865191521688357,2204,-73.34,8.33,99.76,8.48,False,False,True,True,False,2
copper_yoy|signth|w252,commodity,copper,yoy,12,35,1992-01-01,signth,252,-1,0.317,-0.404,0.111,0.115,0.114,0.072,0.538,26,0.054,-0.005214976485895836,3317,-78.95,3.46,98.26,3.74,False,False,True,True,False,2
cn_leading_idx_level|rankc|w60,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,rankc,60,1,0.27,-0.269,0.11,0.121,0.117,0.049,0.577,26,-0.06,0.018365277689395682,1417,-85.07,9.17,95.63,9.48,False,False,True,True,False,2
us_philly_fed_level|dev|w60,us_survey,us_philly_fed,level,0,21,1968-05-01,dev,60,1,0.229,-0.19,0.109,0.123,0.118,0.086,0.577,26,-0.045,-0.007122584202574336,4676,-91.88,10.37,99.17,11.47,False,False,True,True,False,2
us_term_premium_10y_level|rankc|w120,rates,us_term_premium_10y,level,0,0,1990-01-02,rankc,120,-1,0.235,-0.206,0.108,0.135,0.126,0.14,0.615,26,0.015,0.003907943488076881,1211,-63.18,20.86,99.51,19.95,False,False,True,True,False,2
cn_leading_idx_level|selfz|w60,cn_cycle,cn_leading_idx,level,0,45,1992-05-01,selfz,60,1,0.268,-0.301,0.107,0.125,0.119,0.067,0.577,26,-0.018,0.0035497586079882714,1745,-84.67,12.88,99.56,14.05,False,False,True,True,False,2
us_retail_inv_sales_level|robustz|w120,us_cycle,us_retail_inv_sales,level,0,75,1992-01-01,robustz,120,-1,0.177,-0.037,0.107,0.117,0.113,0.125,0.56,25,0.029,0.037166956664522584,2437,-45.11,7.26,99.35,8.59,False,False,True,True,False,2
us_freight_tsi_yoy|dev|w120,us_cycle,us_freight_tsi,yoy,12,90,2000-01-01,dev,120,-1,0.172,-0.079,0.106,0.116,0.113,0.106,0.462,26,-0.053,-0.005845418741375487,4251,-84.11,7.46,99.48,7.95,False,False,True,True,False,2
us_mfg_new_orders_yoy|selfz|w60,us_cycle,us_mfg_new_orders,yoy,12,65,1992-02-01,selfz,60,1,0.154,-0.015,0.105,0.121,0.116,-0.034,0.423,26,0.033,0.017646836487038492,3170,-74.01,11.88,99.5,13.33,False,False,True,True,False,2
