,call_oi_total,call_cog,call_disp,call_otm_share,call_far_share,call_wall,call_front_share,call_churn,call_oi_growth,call_cog_chg,call_far_chg
2009-01-05,280864.0,0.09581417714445692,0.13964853585358453,0.8675657969693518,0.6315156089780107,0.06421245085998994,0.8445938247692834,0.6808918195283127,,,
2009-01-06,296102.0,0.0926162913729361,0.14423211358750906,0.8190116919169745,0.6480469567919163,0.057695155333110426,0.8441010192433689,0.4105848660258965,0.05283342314986683,-0.003197885771520817,0.016531347813905528
2009-01-07,307963.0,0.08022698520963317,0.13960161947997687,0.8342625575150262,0.5208645194390236,0.043876204633140015,0.8387468624477615,0.4334157025356942,0.03927565632769969,-0.01238930616330293,-0.1271824373528927
2009-01-08,337324.0,0.1326975055633996,0.14389391048447034,0.9183929990157831,0.8010251271774318,0.10234380339477789,0.8443810698319716,0.5464864640523651,0.09106424692507176,0.052470520353766426,0.28016060773840823
2009-01-09,361157.0,0.13842656119263855,0.1497217210616121,0.9181464017034143,0.7823827310560227,0.1104349795902051,0.8439625979837024,0.49302657846864384,0.0682688740247066,0.005729055629238949,-0.018642396121409055
2009-01-10,381482.0,0.14132478137149646,0.14941609231700112,0.9372971726057848,0.8388731316287531,0.11918666466705319,0.8476835080029989,0.3655821244514813,0.05475090059872301,0.0028982201788579076,0.05649040057273036
2009-01-12,400409.0,0.1401075062012256,0.1485713525135798,0.9357457000217277,0.8271117782067836,0.12261164372796873,0.8481802357089876,0.38602528914185247,0.04842285727515083,-0.0012172751702708429,-0.01176135342196949
2009-01-13,408701.0,0.1198461589558845,0.14462399200898549,0.9034991350645093,0.7325599888426992,0.10317803528404634,0.8440302323703637,0.4222916019290386,0.02049731263879373,-0.020261347245341108,-0.09455178936408437
2009-01-14,416581.0,0.12186985785293536,0.1434231482169686,0.9049932666156162,0.7289842791677968,0.10583504922071807,0.839082915447416,0.3441947664439809,0.01909708313993974,0.0020236988970508546,-0.0035757096749023942
2009-01-15,439313.0,0.1645419525494412,0.15176640710143488,0.9473496117802114,0.8462849949807996,0.15720114701777677,0.8329733014957444,0.4602595416024566,0.05313122258779934,0.04267209469650585,0.11730071581300272
2009-01-16,459069.0,0.15186000115735296,0.14915304582301195,0.9451324310724531,0.8292849223101538,0.14844844614925234,0.8129257257623581,0.4451923349213299,0.04398838248253156,-0.012681951392088248,-0.01700007267064574
2009-01-17,473316.0,0.14508448361833273,0.1481952869997192,0.9394738398870944,0.812543839633564,0.14518677996381202,0.8085803142086894,0.2821413178510762,0.030562715978378563,-0.006775517539020226,-0.016741082676589802
2009-01-19,482659.0,0.14369882135771178,0.14740146750337738,0.9391495859395557,0.8081088304579424,0.14501369436378453,0.7991273342048941,0.2981110887811063,0.019547158635131012,-0.0013856622606209512,-0.004435009175621674
2009-01-20,500259.0,0.17273581860022963,0.15120595427075023,0.9659436411938616,0.8594208200152321,0.17851982623903684,0.7809214826719759,0.3455869859412824,0.035815564133004685,0.029036997242517848,0.05131198955728977
2009-01-21,533390.0,0.16469600613236443,0.14946356523584528,0.9580813288588087,0.8413581057012692,0.1770327944877199,0.7441290612872382,0.2608860308592212,0.06412689960912665,-0.008039812467865198,-0.01806271431396289
2009-02-02,166136.0,0.17008412229880068,0.23018204809364592,0.9227560552800116,0.7405739875764434,0.07981727613744671,0.6598088313189194,0.5350195020946694,-1.1664461338749543,0.005388116166436252,-0.1007841181248258
2009-02-03,193502.0,0.12795738551471705,0.21082704266416485,0.8612882554185487,0.642169073187874,0.029086559900841635,0.6864786927266902,0.8283428595053282,0.152481118293057,-0.04212673678408363,-0.09840491438856946
2009-02-04,215829.0,0.11691986467997634,0.20032991137549483,0.881053982551001,0.5083561523242938,0.047843151547732665,0.709473703719148,0.599780381691061,0.10919857915022213,-0.011037520834740716,-0.1338129208635802
2009-02-05,244622.0,0.11682579829643895,0.19135926562520258,0.8788661690281332,0.6418719493749541,0.05426001260528279,0.7256011315417256,0.6767584272878154,0.12522773448820423,-9.406638353738617e-05,0.1335157970506603
2009-02-06,260276.0,0.09521922392071766,0.18651199340433466,0.7878559682798261,0.5385705942922129,0.028795079675705937,0.7081290629946672,0.8108738416142863,0.06202844447137146,-0.02160657437572129,-0.10330135508274119
2009-02-09,274281.0,0.08836451246391781,0.1811848739667551,0.7963949380379975,0.4381929481079623,0.023452639729096614,0.7013354917037636,0.5366394318235678,0.052410521875275506,-0.006854711456799847,-0.1003776461842506
2009-02-10,285004.0,0.08398351946916074,0.1812189851358464,0.7058251814009628,0.44912702979607305,0.01632752259119319,0.6948393706754993,0.3959032153934682,0.038350086939070493,-0.004380992994757069,0.010934081688110775
2009-02-11,290101.0,0.0738260936012048,0.17822522975528193,0.7177603662172829,0.3566344135318389,0.00525573924540268,0.682810469457189,0.6952785409219547,0.017725922950750927,-0.010157425867955941,-0.09249261626423416
2009-02-12,312780.0,0.09646076726932713,0.17674107043943327,0.8242758488394398,0.5727859837585524,0.02990762176418693,0.6780516657075261,0.740616407698702,0.07527092979944072,0.02263467366812233,0.2161515702267135
