,pcr_oi,pcr_vol,pcr_oi_chg,pcr_far,pcr_atm,cog_gap,cog_mid,far_asym,wall_gap,wall_mid,churn_ratio,oi_growth_diff,disp_ratio,front_diff,max_pain
2009-01-05,0.6679282499715165,0.537042847132892,,0.9130292608671139,0.1940802085729622,0.2275623375750636,-0.017966991643074887,0.2317391339016729,0.2979794862407972,-0.08477729226040864,0.8040427203906917,,0.6668250157384935,-0.027365748144995705,-0.04220879422600898
2009-01-06,0.6842101708195149,0.6128069093152375,0.024084380160146135,0.890357917118319,0.1277249930693818,0.22449256399134404,-0.01962999062273591,0.19525202245742723,0.2961546434932709,-0.09038216641352503,0.8956413328104229,-0.024084380160145358,0.6321697628318859,-0.033280567757361657,-0.026920457093538408
2009-01-07,0.7011426697362995,0.6607180317060745,0.024446251782566486,1.2012131640140393,0.14436885865457294,0.2163548622441282,-0.027950445912430927,0.3714921212619573,0.2922853372972791,-0.10226646401549955,0.9423446328756047,-0.02444625178256743,0.6445610395080104,-0.039512355988184145,-0.039633891737511084
2009-01-08,0.6456552157569577,0.7966562332174262,-0.08244574992418607,0.6013397235432357,0.9734156378600823,0.22501062678705905,0.020192192169870074,-0.05497953384425147,0.3086562649505378,-0.051984329080491,1.2338725278993323,0.08244574992418663,0.6721312834578014,-0.019766408301135185,-0.007890576944699856
2009-01-09,0.6413471149666211,0.6483994159272155,-0.006694808204151359,0.5505108595251325,1.0863837113556405,0.22608092449498657,0.02538609894514527,-0.11081162751455309,0.31092179428525746,-0.04502591755242363,1.0109960749740978,0.006694808204150249,0.6357095805757598,-0.013787146217103197,-0.0006085183688153695
2009-01-10,0.6126134391661991,0.8454930698464825,-0.0458366992876717,0.5068293673734043,1.263065812983919,0.22446378745946682,0.029092887641763036,-0.14485385058160316,0.3133722661067748,-0.03749946838633422,1.3801412371841622,0.045836699287672644,0.633491591417557,-0.007687243512826902,0.007267998200347847
2009-01-12,0.6101161562302546,0.685251798561151,-0.004084772982819229,0.5110135484007331,1.2522420732999082,0.21958957814915397,0.030312717126648632,-0.13434971906541415,0.17961786299647486,0.0328027122297313,1.12314973397056,0.004084772982817952,0.6252752118555884,-0.011293517442926504,0.01035047935517186
2009-01-13,0.6299715439893712,0.712111292014068,0.03202529100526369,0.6865610324718268,0.4881273417177768,0.2162005394828203,0.011745889214474343,0.0658048691990144,0.1765084856454474,0.014923792461322638,1.1303864417502683,-0.032025291005261636,0.6185128552017246,-0.005548359310220463,-0.007139768244358247
2009-01-14,0.6468801985688257,0.8015552533389128,0.02648646276171973,0.5984174182777322,0.5020705144702057,0.21429287280183257,0.014723421452019075,-0.054613829632027655,0.22116700984414372,-0.004748455701353793,1.2391092741937286,-0.02648646276172073,0.6184220327821631,0.004729090645391287,-0.004748455701353849
2009-01-15,0.6078376920327876,0.9136539431646208,-0.06225322042214937,0.45361285047231725,1.249426237032957,0.2223973156499634,0.053343294724459506,-0.21472536332754577,0.23144022940355535,0.04148103231599909,1.5031215654118026,0.0622532204221482,0.6376793789008359,0.042630607201823545,0.018337009375643643
2009-01-16,0.5961500340907359,0.5723135036746357,-0.01941552199722385,0.45787091639326605,1.1138009408531107,0.21816966033842333,0.042775170988141285,-0.19235558302326505,0.22968968922985045,0.03360360153432712,0.9600158868522818,0.019415521997226293,0.6351866394147143,0.032917394682313916,0.01063463261134201
2009-01-17,0.5892046751007783,0.7152730976022524,-0.011718751221489132,0.46675940612080397,0.9645657921045031,0.21471910648717013,0.037724930374747674,-0.1688583835234091,0.22903735599276243,0.030668101967430805,1.213963717242928,0.011718751221488688,0.6340822934528393,0.04369577605607888,0.007764366368154585
2009-01-19,0.5887220584304861,0.5306562139471526,-0.0008194341524974114,0.46726626175196967,0.9526633530302707,0.21355773473737294,0.03691995398902532,-0.16671619553015726,0.2290027388727569,0.030512324927406076,0.901369680901485,0.0008194341524969673,0.6343349054081805,0.04733603940492792,0.0076120510401302965
2009-01-20,0.5857066039791388,0.8152565607954513,-0.005135196669468378,0.38424359144331793,1.555683301224287,0.2211108934570483,0.062180371871705484,-0.29561132870962303,0.23570396524780735,0.060667843615133166,1.3919197005067208,0.00513519666946749,0.6265139479414502,0.06552072159281341,0.013527050565571797
2009-01-21,0.6062768330864846,1.1068240941690501,0.03451771363991263,0.4383473122209051,1.2558482613277133,0.22239022739281447,0.053500892435957195,-0.23304348089221982,0.23540655889754392,0.059329515038947955,1.82560842467679,-0.03451771363991263,0.6334606369635999,0.10054036432822377,0.012248203259439094
2009-02-02,0.7981593393364472,0.7899669239250275,0.27497154883825564,0.7995220910952892,0.6904090267983075,0.24301090506514178,0.048578669766229786,0.0012644323688066894,0.23474288611683625,-0.03755416692097141,0.9897358647482213,-0.2749715488382556,0.5297714441255148,-0.15047449560430248,-0.014079878309287697
2009-02-03,0.8951638742752013,0.7769923761276718,0.11469855039128875,1.1282220487522232,0.3454468564984494,0.22506354991735528,0.015425610556039415,0.1671903393375278,0.20581731198016828,-0.0738220960892425,0.8679889777240943,-0.11469855039128873,0.5043874608346197,-0.1532589758489611,-0.01665062053919575
2009-02-04,0.8913028369681554,0.8370567786790266,-0.00432254717595619,1.3776864324905667,0.3958617271713542,0.21344598034169426,0.010196874509129206,0.27740974550747743,0.2277919894668985,-0.06605284318571658,0.9391384655818539,0.0043225471759562595,0.5120276828882944,-0.13858913384823557,-0.020494445292336905
2009-02-05,0.8813311967034854,0.779782543038357,-0.011250766101744414,1.0771641106638814,0.3873691028824355,0.2059838629746571,0.013833866809110397,0.14262476434024074,0.22918695926201804,-0.06033346702572623,0.8847781015298687,0.011250766101746024,0.5159632169737631,-0.12338283361484259,-0.014496075173322631
2009-02-06,0.9199157817086477,0.7839337411336597,0.04284863624659113,1.4144403147449296,0.34881873380369605,0.19975815261425517,-0.004659852386409931,0.2895225595051074,0.22365110427732737,-0.08303047246295775,0.852179902466272,-0.04284863624659252,0.5058620491904876,-0.12277073318963572,-0.038300251607492286
2009-02-09,0.996860883546436,0.8329370201780012,0.08032910093531508,1.7921256697840051,0.34133110565941965,0.19155092601566634,-0.007410950543915357,0.3495767834405711,0.1334938225733605,-0.04329427155758364,0.835559940134015,-0.0803291009353142,0.5030516046858888,-0.10405913926690424,-0.0432942715575837
2009-02-10,1.0316978007326214,0.8984348689224879,0.034349849244162664,1.7369514776997415,0.1978767074810673,0.1908080932896523,-0.011420527175665399,0.30701673393514534,0.13256445946841644,-0.04995470714301503,0.8708314278507701,-0.03434984924416362,0.49302599476173226,-0.10289085466952419,-0.027860630564945588
2009-02-11,1.0985139658256953,0.9141798999509174,0.06275253087433522,2.5493717378697083,0.26279029412615323,0.1881208132341785,-0.020234313015884443,0.47102342505232075,0.13112031381461775,-0.060304417661906196,0.8321968845100449,-0.06275253087433441,0.4909174477269779,-0.10161905232014246,-0.038451032026136645
2009-02-12,1.0447982607583606,0.8606820634578027,-0.05013451142955546,1.3434716113331395,0.659838248825609,0.1894189229582976,0.001751305790178341,0.16374061419978192,0.1343357767518505,-0.03726026661173831,0.8237782314387485,0.05013451142955461,0.5034048257171498,-0.0940633187474178,-0.014870970486429824
2009-02-13,1.072975021782415,0.7093684394681595,0.026611369642872827,2.3755150292936493,0.274775621236119,0.18365539300019273,-0.023065537738531136,0.4392827315674898,0.13064779531845394,-0.06369080021774631,0.661122975900934,-0.026611369642873584,0.5140329745983414,-0.10450192071246289,-0.041916167664670656
2009-02-16,1.1230379731125915,1.0423841347933038,0.04560230465939366,2.409154767682444,0.36026417997260635,0.18323863303588872,-0.02061519340305109,0.4173093912135922,0.17424410728209672,-0.041657409948467394,0.9281824477441766,-0.04560230465939341,0.5172926872898391,-0.10032239276064947,-0.019876896538205235
2009-02-17,1.120243057594082,1.0829127829361302,-0.0024918117047456334,1.5446141409475416,0.7450804537061462,0.18925049111864845,-0.0011918713321494925,0.19258508699857158,0.1558402236975096,-0.03156432416547561,0.9666766293217427,0.002491811704745217,0.5191283562284662,-0.09711986779954263,-0.020432879615653432
2009-02-18,1.113083404081545,0.9350805835732833,-0.006411671703965907,1.5064386931292575,0.7888918605687796,0.1867771334514978,-0.003902110685508789,0.18063640348503773,0.1556119216516204,-0.03298305830778708,0.8400813273690486,0.006411671703967059,0.5361189426216277,-0.12152171956979241,-0.021867921046957006
2009-02-19,0.8208872228027957,0.6401110694510105,-0.3045035503810091,1.0923407246074592,0.27544869160158925,0.23267566967288605,0.006090967996860208,0.20524745712595283,0.2649667577121887,-0.07261634800733957,0.7797795503083209,0.30450355038100874,0.5366451537824485,0.0,
2009-02-20,0.844479215696252,0.8474482391132114,0.028334390204214244,0.9086693104862924,0.6912273120138289,0.2297949531149414,0.020846028740264026,0.05421110731470946,0.2704566660806773,-0.053401668717629636,1.0035158040147993,-0.028334390204213022,0.5313776549365593,0.0,
2009-02-23,0.8460563985944903,0.9585025819163142,0.0018658978166396778,1.1414812648361141,0.6645978361150717,0.22167638171272536,0.00853219708899431,0.19888387796804907,0.2456574463238479,-0.0732014525054826,1.1329062501136151,-0.0018658978166410378,0.5338859420376298,0.0,
2009-02-24,0.8646587072991271,1.0304640415699469,0.021748848648167562,0.9727826989655844,0.6255683193887708,0.22429768590747548,0.016219750780100448,0.08774136647617081,0.24829690892920842,-0.06324347994889601,1.1917581270750564,-0.021748848648167396,0.5306757210796258,0.0,
2009-02-25,0.883416683897512,0.8677143018431228,0.021462113952188666,1.2003532553889782,0.47919469039629864,0.2153679613492948,0.002353317463234951,0.2057224189784992,0.2670381463992131,-0.06536648760275399,0.9822253956251851,-0.021462113952187778,0.5325910307673417,0.0,
2009-02-26,0.8819772238527395,0.9088298572996707,-0.0016307526127240235,1.1910677296949597,0.2122775292662035,0.2108953812522523,-0.0032481937486455587,0.2007963161230385,0.2655713324598987,-0.07050033639035447,1.0304459488529996,0.00163075261272283,0.5357542558402378,0.0,
2009-02-27,0.8889906890612658,0.7884446903675013,0.007920529585017752,1.262242031659813,0.25534022906511317,0.20115968550770513,-0.013673044252143218,0.24824384802137733,0.17554831418759542,-0.03448427196822562,0.8868987044173248,-0.007920529585016212,0.5995341633666925,0.0,
