date,TXF_自營商_churn_chgskew60,TE_net_lots_外資div投信_ma60,STF_自營商_oi_net_lots_chgskew20,TF_投信_oi_net_lots_ma5,TF_外資_net_lots_chgskew120,TF_投信_oi_net_lots_ma20,TE_oi_net_lots_外資div投信_ma5,TXFdivMXF_投信_oi_net_lots_spot,TE_外資_oi_net_lots_chgskew120,TE_net_lots_投信div自營商_spot,TE_oi_net_lots_外資minus自營商_ma5,TMF_自營商_oi_net_lots_chgskew120,TE_net_lots_外資div投信_ma20,STF_自營商_oi_net_lots_chgskew120,STF_外資_oi_net_lots_chgskew120,MXF_oi_net_lots_外資div投信_ma60,STF_自營商_oi_net_lots_lo,TF_投信_oi_net_lots_spot,TF_投信_oi_net_lots_chgskew60,STF_外資_oi_net_lots_chgskew60,TMF_投信_net_lots_lo,TMF_投信_churn_hi,TMF_投信_net_lots_hi,TMF_投信_oi_net_lots_lo,TMF_投信_oi_net_lots_hi,TF_投信_oi_net_lots_lo,TXF_外資_oi_net_lots_ma60,TE_net_lots_外資div自營商_ma60,MXF_外資_oi_net_lots_chgskew60,TXF_oi_net_lots_外資minus投信_ma60,TXF_投信_net_lots_spot,MXF_net_lots_外資div投信_ma5,MXFdivTMF_外資_net_lots_ma5,STF_自營商_oi_net_lots_chgskew60,TMF_外資_oi_net_lots_chgskew60,TE_外資_oi_net_lots_chgskew60,TMF_外資_oi_net_lots_chgskew120,STF_投信_oi_net_lots_chgskew120,TXF_投信_oi_net_lots_chgskew60,MXF_外資_churn_chgskew20,STF_投信_oi_net_lots_chgskew20,MXF_net_lots_投信div自營商_ma60,MXF_net_lots_外資div投信_spot,MXF_投信_net_lots_ma5,TE_自營商_churn_chgskew60,TF_投信_oi_net_lots_ma60,TXF_net_lots_外資div自營商_spot,STF_net_lots_投信div自營商_ma20,TXF_oi_net_lots_外資minus自營商_ma60,MXF_外資_oi_net_lots_chgskew120,TXF_net_lots_投信div自營商_spot,TXFdivTMF_自營商_net_lots_ma5,STF_外資_oi_net_lots_chgskew20,MXF_net_lots_外資div投信_ma20,TXF_外資_churn_chgskew60,TE_自營商_net_lots_ma60,TE_net_lots_外資minus自營商_ma60,STF_外資_net_lots_chgskew120,TAIEX_自營商_net_lots_consol_spot,TMF_外資_oi_net_lots_chgskew20,TE_外資_oi_net_lots_ma5,TXF_net_lots_外資div自營商_ma60,STF_oi_net_lots_外資div投信_spot,TE_oi_net_lots_share外資_ma20,TXF_外資_oi_net_lots_chgskew120,TE_oi_net_lots_投信div自營商_ma60,TE_自營商_churn_spot,TXF_自營商_net_lots_spot,TE_net_lots_外資div投信_ma5,STF_投信_net_lots_chgskew20,TMF_net_lots_share外資_spot,TE_外資_oi_net_lots_spot,TMF_外資_net_lots_ma60,TMF_net_lots_外資minus投信_ma60,STF_外資_net_lots_spot,MXFdivTMF_外資_net_lots_spot,TMF_自營商_oi_net_lots_chgskew60,STF_net_lots_投信div自營商_ma60,STF_net_lots_外資minus投信_spot,TMF_net_lots_外資div自營商_ma5,TMF_外資_churn_chgskew60,TE_oi_net_lots_外資minus自營商_ma20,TF_net_lots_外資div自營商_ma5,STF_外資_churn_chgskew20,STF_外資_oi_net_lots_ma60,STF_oi_net_lots_外資minus投信_ma60,STF_oi_net_lots_外資div投信_ma60,TE_oi_net_lots_外資minus投信_ma5,TXF_投信_churn_chgskew20,TE_net_lots_投信div自營商_ma20,TXFdivTMF_外資_oi_net_lots_ma20,STF_自營商_net_lots_chgskew120,TXFdivMXF_投信_net_lots_ma20,TE_oi_net_lots_外資minus投信_spot,TE_外資_oi_net_lots_ma60,TE_外資_oi_net_lots_ma20,TE_oi_net_lots_外資minus自營商_ma60,MXF_投信_oi_net_lots_chgskew20,TE_oi_net_lots_share外資_ma60,TMF_自營商_net_lots_spot,TE_自營商_oi_net_lots_chgskew20,MXFdivTMF_自營商_net_lots_spot,STF_投信_net_lots_spot,STF_投信_net_lots_chgskew120,STF_投信_oi_net_lots_spot,TMF_net_lots_外資minus自營商_spot,MXF_oi_net_lots_外資div投信_ma20,STF_自營商_churn_chgskew20,TF_net_lots_外資minus投信_ma5,TF_自營商_net_lots_spot,TE_oi_net_lots_投信div自營商_spot,STF_自營商_net_lots_chgskew20,MXF_投信_churn_chgskew60,TE_oi_net_lots_外資div自營商_spot,TMF_oi_net_lots_share外資_ma20,TXF_投信_oi_net_lots_chgskew20,TAIEX_投信_oi_net_lots_consol_chgskew20,STF_自營商_churn_ma60,TE_oi_net_lots_外資minus投信_ma20,TE_net_lots_外資div投信_spot,TXFdivMXF_自營商_oi_net_lots_spot,TF_net_lots_外資minus自營商_ma20,STF_net_lots_share外資_ma5,TXFdivTMF_自營商_net_lots_spot,TE_外資_churn_chgskew60,TF_投信_net_lots_chgskew20,MXF_net_lots_外資div自營商_ma60,TAIEX_自營商_oi_net_lots_consol_ma5,TE_oi_net_lots_外資minus投信_ma60,TF_net_lots_外資minus自營商_ma5,TE_投信_oi_net_lots_chgskew60,TF_外資_net_lots_ma20,TF_投信_net_lots_chgskew60,TE_外資_churn_chgskew20,TF_自營商_churn_chgskew60,TF_net_lots_外資minus投信_ma20,MXF_外資_oi_net_lots_chgskew20,TAIEX_自營商_oi_net_lots_consol_ma60,STF_自營商_churn_ma20
2023-06-26,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-27,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-28,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-29,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-30,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-03,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-04,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-05,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-06,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07-07,,,,,,,,0.6750504544248964,,0.029966400524951083,,,,,,,0.0,,,,,,,,,0.0,,,,,0.5696763733906164,,,,,,,,,,,,0.9535862656177106,,,,-0.4014707060503299,,,,0.339226877160332,,,,,,,,,,,,-0.7641268807600871,,,,,0.9392187246898831,,,,-0.9398622216659063,,,0.6286884474882145,,,,0.6287732096049293,,,,,,,,,,,,,,,-0.9077359261919431,,,,,,,,,-0.528706723722577,,0.8704291391146383,,,,,-0.760942006323706,-0.4055164451090198,,,-0.1424828147762156,,,,,,,0.3341549072923662,,,,,,,,,,,,,,,,,,
2023-07-10,,,-0.6878107994880627,,,,-0.9062054097766897,0.6356793846495207,,0.5821300992331172,-0.7911481450501912,,,,,,0.0,,,,,,,,,0.0,,,,,0.2880570926545889,0.780231377897273,,,,,,,,,-0.8758648482386612,,-0.3438351839913793,0.5949853465926906,,,-0.5212175040287431,,,,0.356313127002709,,-0.04914452599606738,,,,,,,,-0.9038293431603243,,-0.8439601571155714,,,,-0.528069738259143,-0.7651602503293362,0.7732990543220778,1.0785280415467626e-16,,-0.8911212179821759,,,-0.23033243640670917,,,,-0.22999346092250555,,,,0.33084643644372974,,,,,-0.8954159726490112,,,,,,-0.8815305728100519,,,,0.6852876113992681,,,0.3806436934776751,,-0.5036530990361889,,0.8266781629755183,,,,-0.8768813222111176,0.7408834126756086,-0.6052878065098877,0.17610266655015103,,-0.4972705371540151,,-0.7825614010091646,,,,0.06331077865366128,0.47963307929901383,,-0.9614249166900094,,,-0.0,,,,-0.6009673354593533,,,,,,,0.8501444502459856,,
