,0
selfz|w60,0.428
selfz|w120,0.545
selfz|w252,0.419
robustz|w60,0.221
robustz|w120,0.446
robustz|w252,0.391
bdtanh|w60,0.4
bdtanh|w120,0.523
bdtanh|w252,0.416
rankc|w60,0.335
rankc|w120,0.419
rankc|w252,0.407
signth|w60,0.337
signth|w120,0.342
signth|w252,0.345
dev|w60,0.424
dev|w120,0.336
dev|w252,0.42
