signal,sign,SR_gross,SR_net,held_pct,n_bars,SR_net_oos,SR_gross_oos,SR_net_oos_realcost,n_bars_oos,mean_pos,beta_oos
oi_put_monthly_chgskew20,-1,0.454301438552389,0.4506875156613195,99.89079989079988,3663,1.2154654305786226,1.2190296526893325,1.210361221537425,2348,0.9107450847358409,0.9073944538985713
oi_call_monthly_chgskew20,-1,0.513989897868727,0.5102895755619067,99.94539994539994,3663,1.214887910205474,1.218423716266022,1.2098303437209794,2348,0.9048011518890802,0.9060133507266664
oi_both_monthly_chgskew20,-1,0.5190238538102593,0.5147282856771294,99.97269997269996,3663,1.2128483736064253,1.2163863000509114,1.2077807077535343,2348,0.9016057930848269,0.9060023488544168
oi_both_weekly_chgskew20,-1,0.7646797032836669,0.7556872569324412,22.386022386022383,818,1.1477270208881851,1.1507988695754363,1.143053804715726,2073,0.9182696423607043,0.9229422947561032
oi_call_weekly_chgskew60,-1,0.6869545928373617,0.6789393270637066,21.84002184002184,798,1.1408811018985818,1.1435542365809668,1.1367668434288931,2073,0.900980431484606,0.9003403461440448
oi_put_weekly_chgskew20,-1,0.7759707725220998,0.766868521776105,22.386022386022383,818,1.1403300971886627,1.143493606578369,1.1355287098774998,2073,0.9081218536884137,0.90997300295743
oi_put_weekly_chgskew60,-1,0.7034333961760008,0.6954586966904931,21.84002184002184,798,1.136961609800409,1.1395771029088393,1.1329365273776868,2073,0.9032326458409873,0.9019092867129376
oi_both_weekly_chgskew60,-1,0.6896006548076191,0.6816108475144564,21.84002184002184,798,1.1356669863338955,1.1382488531887232,1.1316893198513425,2073,0.9109395959451133,0.9156130561256618
oi_call_weekly_chgskew20,-1,0.7653660090545636,0.7559730121499949,22.386022386022383,818,1.12982891340917,1.1332087876891586,1.124693109058441,2073,0.8985459553127368,0.9085663696606661
oi_both_monthly_chgskew60,-1,0.4775124237665482,0.4775075746630686,100.0,3663,1.121470704874785,1.1214758932969642,1.121463520575113,2348,0.9994255274912195,0.9990561977851723
oi_put_monthly_chgskew60,-1,0.477544965929768,0.4775399981591734,100.0,3663,1.1214537092003232,1.1214589833123043,1.1214463363513067,2348,0.9994140393157565,0.999142760599806
oi_call_monthly_chgskew60,-1,0.4770999126471627,0.477083478579606,100.0,3663,1.1213091602376088,1.121315059649344,1.1213011107700837,2348,0.99892523955025,0.998740059668799
volume_call_weekly_chgskew60,-1,0.5377515494107179,0.5239617226353351,21.676221676221676,798,1.1165579488848008,1.1198973131318106,1.111496254332199,2073,0.604913318185873,0.7200665496500128
oi_call_all_chgskew60,-1,0.4751862297297059,0.475135459882806,100.0,3663,1.0926429834762124,1.0932295702214712,1.09186565687244,2348,0.9471509864603047,0.7911689158326062
oi_call_all_chgskew20,-1,0.4915037152536296,0.4886184062464426,99.94539994539994,3663,1.0856887891962688,1.0874518378107745,1.0833334120240516,2348,0.9045405161239671,0.7876146869239461
volume_both_weekly_chgskew60,-1,0.4165023842530142,0.4036601074889648,21.84002184002184,798,1.0849710485618715,1.0881505453153697,1.080149490833753,2073,0.6196782794949779,0.756546141470953
oi_both_all_chgskew20,-1,0.5126766497914101,0.5094306494625235,99.97269997269996,3663,1.0728083309066418,1.0739086279987071,1.0714201176795908,2348,0.9233744765248936,0.8286097649852359
oi_both_all_chgskew60,-1,0.4762395002228228,0.4762149111480378,100.0,3663,1.059120727046157,1.0595275542370648,1.0586023114721177,2348,0.9583308797958826,0.8293600963234402
volume_put_weekly_chgskew60,-1,0.2778912712769643,0.2648423327853696,21.758121758121757,798,1.0546427270636385,1.0577894018326484,1.0498801453212772,2073,0.6057902444492895,0.7628572280830004
oi_put_front_chgskew60,-1,0.0994322064953409,0.0914994307893565,59.56865956865956,2186,1.0519400479647016,1.056795879731354,1.0448982335913215,1398,0.657446589089485,0.9934790586264136
oi_put_all_chgskew60,-1,0.4752932850163298,0.4752618952553262,100.0,3663,1.0500486360079204,1.0505023765770505,1.049468972075259,2348,0.9549694412699404,0.8239035947784615
oi_put_all_chgskew20,-1,0.4478958543111483,0.4451916951150669,99.89079989079988,3663,1.0345162833207389,1.0358370126761314,1.0328323431030637,2348,0.9215140875626119,0.816633548249685
volume_call_front_chgskew20,-1,0.1479141381050137,0.1218243400966991,59.07725907725908,2186,1.0087961967738757,1.0150161237461073,0.9997511458040004,1398,0.31121670669044343,0.9033491921105554
volume_both_weekly_chgskew20,-1,0.0947746487014729,0.0720811406290502,22.22222222222222,818,0.996335899547675,1.001515283304441,0.9885587363846888,2073,0.6138112765301318,0.7782238590504135
volume_put_weekly_chgskew20,-1,0.128524560410822,0.1050903945178783,22.11302211302211,818,0.9921857566047032,0.9973681003259812,0.9844229633427288,2073,0.5987762653230355,0.7746686488815516
volume_put_front_chgskew20,-1,0.0786177607606575,0.0563267289245156,59.04995904995906,2186,0.991678583305987,0.9977519941791786,0.9827751792190852,1398,0.33878618030299607,0.9169459200436728
volume_call_weekly_chgskew20,-1,0.1512698306418982,0.1275937097732328,22.24952224952225,818,0.9869657615156208,0.992559262837779,0.9785618783502058,2073,0.596789134187993,0.7542192860070697
oi_call_front_rank60,-1,0.0023391248743205,-0.0177414297795609,58.74965874965875,2186,0.8594453260717556,0.8781854758566627,0.8324394325943207,1398,-0.07201784127522476,-0.026473219588255784
oi_call_front_winsor60,-1,0.0176739405984715,-0.0002062218133563,58.53125853125854,2186,0.8017252317159379,0.8173069672157947,0.7791996471521369,1398,-0.040951064781380886,-0.019192492934312366
oi_call_monthly_selftanh120,-1,0.1194930392373439,0.100993533874565,99.26289926289928,3663,0.5743140190123778,0.5909219505649062,0.5502933418501067,2348,0.005429856500642317,0.10223431589503706
oi_put_monthly_chg_selftanh60,1,0.3575967446217727,0.2978335139425183,99.07179907179908,3663,0.570136149054763,0.6106831810322443,0.5114046625361892,2348,0.15231926410545762,0.14531147634849198
oi_pcr_front_signth60,1,0.8737540315584126,0.8583099669172439,40.21294021294021,2186,0.5701344830082203,0.5868710971018875,0.5460802013992361,1398,-0.04839601769911504,-0.3729497457917088
volume_call_monthly_selftanh120,-1,0.1341453632275603,0.0770811932791791,99.26289926289928,3663,0.5666032124938161,0.5915290070312986,0.5296962737872306,2348,0.04188163361770609,0.1365869726467793
volume_both_monthly_selftanh120,-1,0.0425752061661974,-0.0133142925128747,99.26289926289928,3663,0.5540820179898558,0.578635324379097,0.5176946429988184,2348,0.0337191283999581,0.1495368737540266
oi_pcr_front_rank60,1,0.9747065158163652,0.9561762118048428,58.96805896805897,2186,0.5533294301870475,0.5716877229713389,0.526980776995068,1398,0.01854939391078761,-0.2814947731298803
oi_pcr_weekly_signth20,-1,0.0001932856475901,-0.0678378981448102,14.878514878514878,828,0.5374935713635886,0.5743994750574728,0.4848679632236883,2073,0.0641158221302999,0.22081550280437312
oi_pcr_front_winsor60,1,0.918474924787751,0.9005821404756383,58.3947583947584,2186,0.52834162511841,0.545201005342225,0.5043090232036758,1398,0.008524069280875662,-0.1778050194979606
