signal,variant,lag,SR,srsr,tilt,beta,enabled
lt_top10_bsdiff_selftanh_w15,c2c,1,1.175639967355229,1.2064838527089987,-0.002533500352679174,-0.02311120294946783,True
lt_top10_bsdiff_selftanh_w15,c2c,2,0.7471471077763171,0.7281418077790165,-0.002706326597112275,-0.06769620212621281,True
lt_top10_bsdiff_selftanh_w15,day,1,0.7973565191090951,0.651508189739299,-0.002533500352679174,-0.03398683649122686,True
lt_top10_bsdiff_selftanh_w15,day,2,0.6848873379106915,0.8556449433020842,-0.002706326597112275,-0.07942531547565498,True
lt_top10npct_signth_w60,c2c,1,0.8382365245048413,0.9046143056096934,-0.005437499448219888,-0.06050232399295529,True
lt_top10npct_signth_w60,c2c,2,0.5614020197997446,0.7333145322990754,-0.0056326286386156835,-0.07986487417097227,True
lt_top10npct_signth_w60,day,1,0.7300244147276485,0.5302051444984538,-0.005437499448219888,-0.10083415633121082,True
lt_top10npct_signth_w60,day,2,0.6274811191192202,0.7316305549590624,-0.0056326286386156835,-0.11683173062379215,True
month_turn_drift_d5_d10,c2c,1,0.5716140035421251,0.7380315137462087,0.7265749920051168,0.7239204041360345,True
month_turn_drift_d5_d10,c2c,2,0.6513679247404047,0.80276973804964,0.7265312649928034,0.7292139368800606,True
month_turn_drift_d5_d10,day,1,0.1632045217861519,0.27144975322625436,0.7265749920051168,0.7325444101769765,True
month_turn_drift_d5_d10,day,2,0.21425163973555703,0.37041540952667,0.7265312649928034,0.7200761079994606,True
nfci_loose_drift_d3_12,c2c,1,0.6762773523616518,0.9218580232327453,0.19059801726894787,0.15587869764849285,True
nfci_loose_drift_d3_12,c2c,2,0.6631134065594322,0.8614035087971483,0.1904685750839597,0.1529185773149523,True
nfci_loose_drift_d3_12,day,1,0.14012398814470967,0.2524938163439846,0.19059801726894787,0.1646299402817608,True
nfci_loose_drift_d3_12,day,2,0.12547349045042439,0.22805991852034085,0.1904685750839597,0.16299334142325225,True
opt_call_all_oi_signth_w20,c2c,1,-0.0405164912416547,0.034276954713829196,-0.0031463883382187178,-0.030445095776819257,False
opt_call_all_oi_signth_w20,c2c,2,0.02079204435230319,0.1366324378825941,-0.003115361731001819,-0.07045522669107644,False
opt_call_all_oi_signth_w20,day,1,0.08249975547911569,0.1458119957321266,-0.0031463883382187178,-0.05126638816781594,False
opt_call_all_oi_signth_w20,day,2,-0.06805704509501774,0.027599141035708815,-0.003115361731001819,-0.07670771370309411,False
opt_put_mo_oi_selftanh_w60,c2c,1,-0.035671519883158004,-0.03015758112879344,0.031731736315427694,0.12128676618477736,False
opt_put_mo_oi_selftanh_w60,c2c,2,0.036246222145856544,0.052834902479225614,0.03162239290240975,0.10557521295328977,False
opt_put_mo_oi_selftanh_w60,day,1,-0.053145851700472646,-0.020846470900595913,0.031731736315427694,0.07942771285650455,False
opt_put_mo_oi_selftanh_w60,day,2,-0.07061600001070502,0.0195835127487403,0.03162239290240975,0.07125361075469266,False
tv_taiex_over_spy_chg_ratio_n60_pctw120,c2c,1,0.38170150796538416,0.5098601771554646,0.009242878676224628,0.0008800588306101326,True
tv_taiex_over_spy_chg_ratio_n60_pctw120,c2c,2,0.42351141935989306,0.5512688875054826,0.009257012534782302,-0.012218208750469828,True
tv_taiex_over_spy_chg_ratio_n60_pctw120,day,1,0.392738557079024,0.6027184685435687,0.009242878676224628,0.011836988426021511,True
tv_taiex_over_spy_chg_ratio_n60_pctw120,day,2,0.42004757054772973,0.512355280169453,0.009257012534782302,0.00763037144344058,True
us_log_ratio_pct_chg_w120,c2c,1,0.42753630899976114,0.6545755696173097,0.04539141748933194,-0.11121057588356027,True
us_log_ratio_pct_chg_w120,c2c,2,0.39925425398755776,0.5704220092850539,0.04538683522964002,-0.10302050086590703,True
us_log_ratio_pct_chg_w120,day,1,0.231522185839874,0.620531379057412,0.04539141748933194,-0.09721786735141327,True
us_log_ratio_pct_chg_w120,day,2,0.18252535454740676,0.5230485791397744,0.04538683522964002,-0.09457771101837482,True
us_sox_agree_amp_n20_robustw20,c2c,1,0.25317387999659535,0.437179113484235,0.010665020548011342,-0.025947681285702302,True
us_sox_agree_amp_n20_robustw20,c2c,2,0.33502767828513075,0.40228054995252993,0.010687725060167734,-0.01485832253779186,True
us_sox_agree_amp_n20_robustw20,day,1,0.16361734445109224,0.3711399951359496,0.010665020548011342,-0.021866303894297896,True
us_sox_agree_amp_n20_robustw20,day,2,0.13902258551352967,0.24936382560600112,0.010687725060167734,-0.025640109846420383,True
us_sox_spy_ret_product_n5_pctw20,c2c,1,0.08897774431367192,0.0685968715883568,0.008962164811764591,0.0517064475439281,True
us_sox_spy_ret_product_n5_pctw20,c2c,2,0.20907012991726176,0.26337302616191466,0.008931455633661142,0.06490657960222504,True
us_sox_spy_ret_product_n5_pctw20,day,1,-0.07017790797770793,0.0683203595878496,0.008962164811764591,0.05233328517737878,True
us_sox_spy_ret_product_n5_pctw20,day,2,0.04794704278948687,0.12966668477045776,0.008931455633661142,0.054110295166807036,True
us_sox_spy_rollcorr_w60_rz_w120,c2c,1,0.14285879500285412,0.25286215430646836,0.022145041085521875,0.0767071038372439,True
us_sox_spy_rollcorr_w60_rz_w120,c2c,2,0.13632052345692533,0.25494810399399775,0.0222988451843025,0.07279785004463833,True
us_sox_spy_rollcorr_w60_rz_w120,day,1,0.16977599288736173,0.1526051734388085,0.022145041085521875,0.08663221025399989,True
us_sox_spy_rollcorr_w60_rz_w120,day,2,0.1555762477910066,0.15139044532371176,0.0222988451843025,0.07968084468491166,True
