cand,family,series,kind,periods,freq,pub_lag_days,transform,window,variant,shift,sign_IS,SR_IS,SR_OOS,SR_net,SR_gross,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,n_bars,start_date,end_date,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,c2c,2,1,0.3815198244448614,-0.10944005915768253,0.24517207974251723,0.25773137681204783,0.19968309501207965,0.5384615384615384,-1.8917837254348684,26,-0.024037469885092044,0.010451816490663037,0.6457073656638903,-51.32765137627556,2502,9.972059329110959,99.46454648710044,6163,2001-08-21,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,day,2,1,0.14138110700227638,0.1157285617050089,0.13375107166271272,0.14971552698831103,0.22752554022128907,0.6153846153846154,-1.5627216921415146,26,0.00424468668338872,0.010451816490663037,0.6457073656638903,-40.82847972967761,4011,9.972059329110959,99.46454648710044,6163,2001-08-21,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,o2o,2,1,0.29581197402987014,-0.04511965718745743,0.20580072262274876,0.21789431306772655,0.14407498604803845,0.5,-1.9081552298681,26,-0.030408717215703818,0.010451816490663037,0.6457073656638903,-53.67490308939951,4080,9.972059329110959,99.46454648710044,6163,2001-08-21,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w60,semis,us_semi_ip,yoy,12,M,46,selfz,60,ongap,2,-1,1.1549909988072722,0.1802426333795044,0.30129572217275186,0.32639198194425373,0.35168579519116533,0.7,-1.225048743316897,10,0.0700877090416444,0.039079050363400106,0.6409461005263468,-7.59594604024971,435,9.469276912894326,99.55830388692578,2264,2017-05-16,2026-09-01,False,True,True,True,3
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,c2c,2,1,0.400808916161935,-0.5928767596280223,0.12728618345380682,0.13480760751516707,0.12520547893841308,0.5384615384615384,-1.8630000162976055,26,-0.016173009481583088,0.018307935818861077,0.6703813306186092,-108.5882668441335,3978,6.290294589404119,99.49453774661666,6133,2001-10-08,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,day,2,1,0.22099111682287884,-0.07596321590593166,0.1538047836658298,0.16346538925792733,0.22735648062688404,0.5,-1.7517584745132435,26,-0.004699359807874504,0.018307935818861077,0.6703813306186092,-52.59122338467949,4382,6.290294589404119,99.49453774661666,6133,2001-10-08,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,o2o,2,1,0.3508515080329053,-0.5395477133097101,0.11635311978484157,0.1236717244774965,0.09445925896093058,0.5,-1.9401352914219194,26,-0.03902025880437858,0.018307935818861077,0.6703813306186092,-111.8206664975651,3977,6.290294589404119,99.49453774661666,6133,2001-10-08,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w120,semis,us_semi_ip,yoy,12,M,46,selfz,120,ongap,2,-1,1.2899472477867777,0.3794382142370324,0.4979143101805646,0.5144776427578484,0.37232904751437024,0.7,-1.44681162784608,10,0.008310860288558921,0.04094554972603949,0.6473067392474894,-8.365007177947827,450,6.7073904035458725,99.42579505300353,2264,2017-05-16,2026-09-01,False,True,True,True,3
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,c2c,2,1,0.3006784577161207,-0.6147037721390873,0.04105943300928404,0.045542229062276465,-0.01581332183627589,0.56,-2.3045133375438698,25,-0.028749889459103863,0.024336799225968566,0.6992588472110807,-96.96924350822579,2402,3.900040608485858,99.65386517224329,6067,2002-01-10,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,day,2,1,0.06844108442365635,-0.04726018891174549,0.04161593040102084,0.04740233077596533,0.09266531085897949,0.6,-1.3778770158269331,25,-0.03907863213244529,0.024336799225968566,0.6992588472110807,-48.05218992096141,4382,3.900040608485858,99.65386517224329,6067,2002-01-10,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,o2o,2,1,0.24672225306200296,-0.6002934198839958,0.016308969167894354,0.020623862122794778,-0.04951997673101803,0.56,-2.139714322135983,25,-0.08126152362726308,0.024336799225968566,0.6992588472110807,-96.9221208900659,2401,3.900040608485858,99.65386517224329,6067,2002-01-10,2026-09-01,False,False,True,True,2
us_semi_ip_yoy|selfz|w252,semis,us_semi_ip,yoy,12,M,46,selfz,252,ongap,2,-1,1.1695205403750881,0.6556919925980508,0.7200644091610043,0.7318662668723342,0.6334457131928367,0.7,-1.332028696887805,10,-0.14032824854919465,0.05686054596526279,0.6686313674514442,-6.7122183288793185,424,4.941521871601465,99.64664310954063,2264,2017-05-16,2026-09-01,True,True,True,True,4
