event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
claims,1,2,night,claims|off1|h2|night,1,-0.0891500327584792,1.1664865918104743,1.011931319008617,0.6660018725765074,0.7,-0.9335918355437796,10,0.411719701714508,0.4209363957597173,104.51766784452298,42.09363957597173,2264,0.978,True,True,True,False,False,3,False
claims,2,1,c2c,claims|off2|h1|c2c,1,0.1440560144467684,0.0379828578818099,0.0563548946710098,0.2516163879832941,0.5454545454545454,-1.9604850163099947,11,0.0631368503070693,0.0826670930604413,41.34186120882635,8.266709306044131,6254,0.764,False,False,True,False,True,1,False
claims,2,1,o2o,claims|off2|h1|o2o,1,-0.1031333044453132,0.5240116051072718,0.2433298923753889,0.3301327622811314,0.3636363636363636,-0.7353143978487772,11,0.0562622840805639,0.0826670930604413,41.34186120882635,8.266709306044131,6254,0.681,False,False,True,False,True,1,False
claims,2,1,day,claims|off2|h1|day,-1,0.2036959340576113,-0.8658429413690283,-0.3499090044007626,-0.4524490988804826,0.4545454545454545,-2.7630628480957413,11,-0.0366796720554347,0.0826538768984812,41.33525179856115,8.265387689848122,6255,-0.444,False,False,True,False,True,1,False
claims,2,1,ongap,claims|off2|h1|ongap,-1,0.3347978543707385,-0.7292596394278448,-0.477653409575997,-0.6471748685317806,0.3,-3.301492039110552,10,-0.1457305856553104,0.2115724381625441,106.07597173144876,21.157243816254415,2264,-0.689,False,False,True,False,True,1,False
claims,2,1,night,claims|off2|h1|night,-1,-0.4390757321985793,-1.2586618360497148,-1.14892070926598,-0.9306104829064032,0.3,-2.3040355393637904,10,-0.2103968606460087,0.2115724381625441,106.07597173144876,21.157243816254415,2264,-0.994,False,False,True,False,False,1,False
claims,2,2,c2c,claims|off2|h2|c2c,1,0.1009574683448427,0.3462148333235909,0.205459602411396,0.4911945120947891,0.6363636363636364,-1.0377611374287083,11,0.133610106480581,0.1646945954589063,40.85833066837224,16.46945954589063,6254,0.811,False,False,True,False,True,1,False
claims,2,2,o2o,claims|off2|h2|o2o,-1,-0.0217369789099623,-0.8475325137211667,-0.4448487869347016,-0.5739678938402923,0.2727272727272727,-3.831221693450796,11,-0.1204379411607156,0.1646945954589063,40.85833066837224,16.46945954589063,6254,-0.731,False,False,True,False,True,1,False
claims,2,2,day,claims|off2|h2|day,-1,0.2115137700779467,-0.4714388927167799,-0.1677731967165255,-0.236074861851945,0.4545454545454545,-2.383546631964105,11,-0.0805051700687268,0.1646682653876898,40.851798561151085,16.466826538768984,6255,-0.489,False,False,True,False,True,1,False
claims,2,2,ongap,claims|off2|h2|ongap,-1,0.1129002984895031,-0.5018593857090463,-0.4131156588635028,-0.7431031011347592,0.2,-3.386079196991627,10,-0.4419542966232984,0.4222614840989399,104.62897526501769,42.226148409894,2264,-1.047,False,False,True,False,False,1,False
claims,2,2,night,claims|off2|h2|night,1,0.1500637298800343,0.7143761886017455,0.6404527206658598,1.1025854237708368,0.9,-0.045065869945271,10,0.388713570802187,0.4222614840989399,104.62897526501769,42.226148409894,2264,0.921,True,True,True,False,False,3,False
durable_goods,-2,1,c2c,durable_goods|off-2|h1|c2c,1,0.2492827200699541,-0.2864093617852436,-0.0267336441311661,0.0559588704470733,0.5294117647058824,-2.323540827149208,17,0.0278211182781792,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.874,False,False,True,False,True,1,False
durable_goods,-2,1,o2o,durable_goods|off-2|h1|o2o,1,-0.0470611813278342,0.0938248430263074,0.0193833438742263,0.1843296707668819,0.4705882352941176,-1.015026818396501,17,0.0234322264906948,0.0318196354333226,16.037096258394627,3.181963543332268,6254,0.736,False,False,True,False,True,1,False
durable_goods,-2,1,day,durable_goods|off-2|h1|day,-1,0.0365305190834657,-0.3043301342331571,-0.0816577002667496,-0.2742593866551024,0.5882352941176471,-1.614645377964965,17,-0.0147573069149936,0.0318145483613109,16.03453237410072,3.181454836131095,6255,-0.464,False,False,True,False,True,1,False
durable_goods,-2,1,ongap,durable_goods|off-2|h1|ongap,-1,-0.3304822253725614,-1.1243333468579857,-0.9931865940678862,-1.195073853480643,0.1,-2.449897641885361,10,-0.0142057032128936,0.0490282685512367,24.710247349823323,4.902826855123675,2264,-0.29,False,False,True,False,True,1,False
durable_goods,-2,1,night,durable_goods|off-2|h1|night,-1,0.6264890658834722,-0.92430733300741,-0.6538957515284667,-0.767989114468567,0.2,-2.828354942434312,10,-0.0413239308454128,0.0490282685512367,24.710247349823323,4.902826855123675,2264,-0.843,False,False,True,False,True,1,False
durable_goods,-2,2,c2c,durable_goods|off-2|h2|c2c,1,0.3142911300563297,0.1085851009217516,0.1932338900307715,0.2992664778030757,0.7058823529411765,-1.6332842682036732,17,0.0422655218445291,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.664,False,True,True,False,True,2,False
durable_goods,-2,2,o2o,durable_goods|off-2|h2|o2o,1,0.2578465303297046,0.3495484597500052,0.2837467993835921,0.636105919873372,0.7647058823529411,-1.070293639052543,17,0.0387085258439883,0.0636392708666453,16.037096258394627,6.363927086664535,6254,0.608,True,True,True,False,True,3,False
durable_goods,-2,2,day,durable_goods|off-2|h2|day,1,-0.0752451146177918,-0.4049191247640361,-0.1983434138811712,-0.2606976700995664,0.4117647058823529,-2.0844505666306463,17,0.0320893442591479,0.0636290967226219,16.03453237410072,6.36290967226219,6255,0.504,False,False,True,False,True,1,False
