kind,frac,rep,sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,mean_abs_w,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes,passes_old,passes_new
long_only,0.02,0,1,2264,-0.040323262051490456,-0.11136031512703157,0.2743560299073352,0.6,-1.4268165014293115,10,0.02174460755013425,0.020318021201413426,0.020318021201413426,-5.062899822436389,1851,10.240282685512367,2.0318021201413425,2017-05-16,2026-09-01,0.020318021201413426,1.07,False,False,True,False,True,1,False,False,False
long_only,0.02,1,1,2264,-0.04884981722638309,-0.16288278746810672,0.019639808353222262,0.5,-1.9822072625476306,10,0.011643659872031028,0.023851590106007067,0.023851590106007067,-5.880496345212832,2152,11.798586572438163,2.385159010600707,2017-05-16,2026-09-01,0.023851590106007067,0.488,False,False,True,False,True,1,False,False,False
long_only,0.02,2,1,2264,0.41963277581625436,0.32406239911832707,0.6646738914700102,0.7777777777777778,-0.8287430014971762,9,0.01304380618413656,0.02075971731448763,0.02075971731448763,-4.522652736916872,1317,9.68374558303887,2.075971731448763,2017-05-16,2026-09-01,0.02075971731448763,0.628,True,True,True,False,True,3,False,True,False
long_only,0.02,3,1,2264,0.7241783501839281,0.6414077200804457,1.028816986043426,0.7,-0.5792751302887731,10,0.02317765410626274,0.02517667844522968,0.02517667844522968,-2.5359647560600918,580,12.355123674911662,2.517667844522968,2017-05-16,2026-09-01,0.02517667844522968,0.921,True,True,True,False,True,3,False,True,False
long_only,0.02,4,1,2264,0.4394599897028215,0.3567850008799168,0.8520259814546877,0.7,-0.33771436497728596,10,0.010475124819449047,0.016342756183745585,0.016342756183745585,-2.5140699430606603,598,8.014134275618375,1.6342756183745584,2017-05-16,2026-09-01,0.016342756183745585,0.641,True,True,True,False,True,3,False,True,False
long_only,0.02,5,1,2264,0.27251808669551586,0.17276780519710155,0.10465444484069031,0.625,-1.5779482450961266,8,0.010550105447339036,0.018551236749116608,0.018551236749116608,-3.127915629283451,638,9.23851590106007,1.8551236749116609,2017-05-16,2026-09-01,0.018551236749116608,0.569,False,False,True,False,True,1,False,False,False
long_only,0.02,6,1,2264,0.4315267935153198,0.34578985599830164,0.5893412178221334,0.6,-0.2665293892332863,10,0.012610557096497823,0.01987632508833922,0.01987632508833922,-2.6484179077857233,398,9.57243816254417,1.9876325088339222,2017-05-16,2026-09-01,0.01987632508833922,0.634,False,False,True,False,True,1,False,False,False
long_only,0.02,7,1,2264,0.26007846996964057,0.17773336706784476,0.21566697919333574,0.5555555555555556,-1.7691025252087014,9,0.01978922905214802,0.022084805653710248,0.022084805653710248,-5.569236945933868,429,11.242049469964664,2.208480565371025,2017-05-16,2026-09-01,0.022084805653710248,0.896,False,False,True,False,True,1,False,False,False
long_only,0.02,8,1,2264,-0.08657990720264541,-0.1717314314486433,-0.031090044098833775,0.4,-1.5677790239086369,10,0.012799068235662965,0.018551236749116608,0.018551236749116608,-4.695270640978686,1531,9.127208480565372,1.8551236749116609,2017-05-16,2026-09-01,0.018551236749116608,0.69,False,False,True,False,True,1,False,False,False
long_only,0.02,9,1,2264,0.235982720157598,0.13161253235109463,0.06188516288347362,0.5,-1.6195334588444819,10,0.00951907525687084,0.019434628975265017,0.019434628975265017,-4.67656420936335,1337,9.57243816254417,1.9434628975265018,2017-05-16,2026-09-01,0.019434628975265017,0.49,False,False,True,False,True,1,False,False,False
long_only,0.02,10,1,2264,0.04661008543001736,-0.03390510866176381,-0.13758579668335819,0.5,-2.0569457641661595,10,0.02278111280111516,0.022084805653710248,0.022084805653710248,-5.612306272216581,823,10.908127208480566,2.208480565371025,2017-05-16,2026-09-01,0.022084805653710248,1.032,False,False,True,False,True,1,False,False,False
long_only,0.02,11,1,2264,0.25585402268042007,0.19154793029008962,0.13169668025341802,0.6666666666666666,-0.9572598015524989,9,0.036026004243771004,0.022526501766784453,0.022526501766784453,-4.894647653746219,1502,11.353356890459365,2.2526501766784452,2017-05-16,2026-09-01,0.022526501766784453,1.599,False,True,True,False,True,2,False,False,False
long_only,0.02,12,1,2264,0.6083125009547397,0.5381759142505614,0.3849623099586984,0.8,-1.9613012202814752,10,0.01729732318298856,0.018551236749116608,0.018551236749116608,-1.953988897936467,365,9.349823321554771,1.8551236749116609,2017-05-16,2026-09-01,0.018551236749116608,0.932,False,True,True,False,True,2,False,False,False
long_only,0.02,13,1,2264,-0.07080902376568979,-0.15172132255670143,-0.11457557217756087,0.5,-1.4419638150663323,10,0.019838819600803605,0.02120141342756184,0.02120141342756184,-5.9590727064306845,1930,10.351590106007068,2.1201413427561837,2017-05-16,2026-09-01,0.02120141342756184,0.936,False,False,True,False,True,1,False,False,False
long_only,0.02,14,1,2264,-0.23738409714522046,-0.3237829527692308,0.12436697493355384,0.5,-2.0007345568826556,10,0.014715198230287845,0.020318021201413426,0.020318021201413426,-8.398530750184094,1078,10.017667844522968,2.0318021201413425,2017-05-16,2026-09-01,0.020318021201413426,0.724,False,False,True,False,True,1,False,False,False
long_only,0.02,15,1,2264,-0.06761342498434851,-0.1432488116967141,0.23986892306738902,0.7,-1.4445070468949879,10,0.020018278805054072,0.02075971731448763,0.02075971731448763,-6.223843132508406,2156,9.79505300353357,2.075971731448763,2017-05-16,2026-09-01,0.02075971731448763,0.964,False,True,True,False,True,2,False,False,False
long_only,0.02,16,1,2264,0.036966027540705396,-0.03260258250002152,0.4282681341104904,0.5,-1.0236765003294908,10,0.016920934681151373,0.017226148409893994,0.017226148409893994,-3.068555568817572,748,8.570671378091873,1.7226148409893993,2017-05-16,2026-09-01,0.017226148409893994,0.982,False,False,True,False,True,1,False,False,False
long_only,0.02,17,1,2264,0.052491220844588134,-0.01307735068476072,-0.09851626210518409,0.4,-1.531648339141304,10,0.02397969139240889,0.018992932862190812,0.018992932862190812,-5.530652869304263,1094,9.57243816254417,1.8992932862190812,2017-05-16,2026-09-01,0.018992932862190812,1.263,False,False,True,False,True,1,False,False,False
long_only,0.02,18,1,2264,-0.14035147266514963,-0.22615136279204834,-0.08212208823219377,0.4,-1.7122274419119363,10,0.018739812914592716,0.02120141342756184,0.02120141342756184,-7.481209404133121,1154,10.685512367491167,2.1201413427561837,2017-05-16,2026-09-01,0.02120141342756184,0.884,False,False,True,False,True,1,False,False,False
long_only,0.02,19,1,2264,0.4605956434384946,0.37839813263014865,0.47206427663090395,0.7,-1.0942111444838318,10,0.01628311727191448,0.022084805653710248,0.022084805653710248,-2.3843617182911294,1525,10.685512367491167,2.208480565371025,2017-05-16,2026-09-01,0.022084805653710248,0.737,False,True,True,False,True,2,False,False,False
long_only,0.02,20,1,2264,0.32643460140148245,0.23940551399632717,0.3459856293637412,0.6,-1.4674917132809384,10,0.014927660806292155,0.019434628975265017,0.019434628975265017,-4.740383301528859,1052,9.79505300353357,1.9434628975265018,2017-05-16,2026-09-01,0.019434628975265017,0.768,False,False,True,False,True,1,False,False,False
long_only,0.02,21,1,2264,0.7520393575310966,0.6857591385570043,0.7247689514782005,0.7,-1.4216735987888278,10,0.02330659481087528,0.01987632508833922,0.01987632508833922,-2.5601549462885482,478,10.017667844522968,1.9876325088339222,2017-05-16,2026-09-01,0.01987632508833922,1.173,True,True,True,False,True,3,False,True,False
long_only,0.02,22,1,2264,1.0282842036234252,0.9645392075019876,2.7230117109905465,1.0,0.38233279836415107,10,0.013899219887641303,0.015901060070671377,0.015901060070671377,-1.3144758253102073,376,8.014134275618375,1.5901060070671376,2017-05-16,2026-09-01,0.015901060070671377,0.874,True,True,True,False,True,3,False,True,False
long_only,0.02,23,1,2264,0.48035794043848984,0.40030827689891624,0.5053050931361932,0.6666666666666666,-0.7709263823880426,9,0.01643540470458774,0.019434628975265017,0.019434628975265017,-2.2988450701204237,593,9.57243816254417,1.9434628975265018,2017-05-16,2026-09-01,0.019434628975265017,0.846,False,True,True,False,True,2,False,False,False
long_only,0.02,24,1,2264,0.11205628057291803,0.005378567754702506,0.23269399362340423,0.7,-1.741767969076292,10,0.009923875505986779,0.018992932862190812,0.018992932862190812,-3.040001960299658,2211,9.57243816254417,1.8992932862190812,2017-05-16,2026-09-01,0.018992932862190812,0.523,False,True,True,False,True,2,False,False,False
long_only,0.02,25,1,2264,0.41456374380390904,0.36318693363470683,0.38861827329898163,0.6,-1.5124547336659646,10,0.01812498060476904,0.015901060070671377,0.015901060070671377,-3.5958468435953477,250,7.3462897526501765,1.5901060070671376,2017-05-16,2026-09-01,0.015901060070671377,1.14,False,False,True,False,True,1,False,False,False
long_only,0.02,26,1,2264,0.7236802688777089,0.6441733061708241,0.7692304726762388,0.8,-0.8175351963938685,10,0.020620582776803856,0.021643109540636044,0.021643109540636044,-2.7086551735054982,446,10.908127208480566,2.1643109540636045,2017-05-16,2026-09-01,0.021643109540636044,0.953,True,True,True,False,True,3,False,True,False
long_only,0.02,27,1,2264,0.04800504658683285,-0.07719297926310738,0.193252765951693,0.5,-1.0949467417472092,10,0.012667376437367777,0.026501766784452298,0.026501766784452298,-3.474726389539326,1325,13.13427561837456,2.65017667844523,2017-05-16,2026-09-01,0.026501766784452298,0.478,False,False,True,False,True,1,False,False,False
long_only,0.02,28,1,2264,0.2203913217422179,0.18782445466630074,0.17143489437885037,0.6,-1.2472229237743204,10,0.07877988802950037,0.018109540636042403,0.018109540636042403,-5.572704083534499,1575,9.127208480565372,1.8109540636042403,2017-05-16,2026-09-01,0.018109540636042403,4.35,False,False,True,False,True,1,False,False,False
