event,field,kwin,hold,shape,variant,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_mean_exec_w,full_abs_exec_w,full_turnover_ann,full_held_pct,full_max_dd_days,full_n_bars,beta_per_w,gate_srsr,gate_posyr,gate_nyr,gate_beta,gate_beta_raw,n_gates,passes
NFP,unemployment_rate,12,10,sgn,c2c,NFP|unemployment_rate|k12|h10|sgn|c2c,1,0.0721126157711344,-0.0726546751799805,0.0111213924556699,-0.0211665663782861,0.5294117647058824,-2.947463179663267,17,0.0024508166866123,0.0143907898944675,0.1007355292612727,5.077070674768148,10.07355292612728,2511,6254,0.024,False,False,True,True,True,2,False
NFP,unemployment_rate,12,10,sgn,o2o,NFP|unemployment_rate|k12|h10|sgn|o2o,-1,0.0631707973007654,-0.1768150899827236,-0.0267740400362499,0.0154813677223345,0.4705882352941176,-1.9504169309481096,17,-0.0013509992186891,-0.0143907898944675,0.1007355292612727,5.077070674768148,10.07355292612728,3556,6254,-0.013,False,False,True,True,True,2,False
NFP,unemployment_rate,12,10,sgn,day,NFP|unemployment_rate|k12|h10|sgn|day,1,-0.010731111353161,0.2110532324109646,0.0668234967344897,0.0743357194064218,0.5294117647058824,-2.9021112988109428,17,0.0031219750888808,0.014388489208633,0.1007194244604316,5.076258992805755,10.071942446043163,2509,6255,0.031,False,False,True,True,True,2,False
NFP,unemployment_rate,12,10,sgn,ongap,NFP|unemployment_rate|k12|h10|sgn|ongap,1,1.1829091092143122,0.1783975591796348,0.2737329317301788,0.2005069991610255,0.6,-1.2945537333928288,10,-0.0479945834188067,0.0481448763250883,0.1453180212014134,7.346289752650176,14.531802120141345,1566,2264,-0.33,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,z,c2c,NFP|unemployment_rate|k36|h1|z|c2c,1,0.0011538368143301,0.8806202804474963,0.2978398840741016,0.4618984010847385,0.6470588235294118,-1.1254579859548544,17,-0.0015622536840992,-0.0005509742269224,0.0074520582921745,3.755837379255974,3.0860249440358167,2176,6254,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,z,o2o,NFP|unemployment_rate|k36|h1|z|o2o,-1,0.1882730607436421,-0.0295884955303379,0.1174892479506536,-0.047661927660206,0.5294117647058824,-1.5886580809780884,17,0.0014394295859669,0.0005509742269224,0.0074520582921745,3.755837379255974,3.0860249440358167,3623,6254,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,z,day,NFP|unemployment_rate|k36|h1|z|day,-1,0.152965377697594,-0.2083746939340016,0.0450257419415816,-0.270974769625514,0.4117647058823529,-1.861674173198473,17,0.0014704042699747,0.0005508861415144,0.0074508669159487,3.755236925638187,3.085531574740208,3687,6255,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,z,ongap,NFP|unemployment_rate|k36|h1|z|ongap,1,0.7364224462496379,-0.7410757427499242,-0.6306828159342901,-0.5182459794878678,0.3,-1.735933479189518,10,-0.0088770274979622,0.0013740073287902,0.0098864717378792,4.916350792761465,4.593639575971731,1838,2264,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,sgn,c2c,NFP|unemployment_rate|k36|h1|sgn|c2c,-1,0.0282611418566695,-0.340424167441293,-0.095532469342719,-0.168221837518514,0.4666666666666667,-1.6838215338956168,15,0.0012893080691439,-0.0009593859929645,0.009593859929645,4.835305404541094,0.9593859929645028,4056,6254,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,sgn,o2o,NFP|unemployment_rate|k36|h1|sgn|o2o,-1,0.1792209293543227,0.1616788735858264,0.1672180550012182,0.1297923467329027,0.5333333333333333,-1.426228121315971,15,0.0005728661491749,-0.0009593859929645,0.009593859929645,4.835305404541094,0.9593859929645028,2436,6254,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,sgn,day,NFP|unemployment_rate|k36|h1|sgn|day,-1,0.0547135980710249,-0.0961149299605249,-0.0009784977847191,-0.2722089824228551,0.4,-1.6884757417028304,15,0.0005826096452984,-0.0009592326139088,0.0095923261390887,4.834532374100719,0.9592326139088728,3826,6255,,False,False,True,False,True,1,False
NFP,unemployment_rate,36,1,sgn,ongap,NFP|unemployment_rate|k36|h1|sgn|ongap,1,0.64037623049431,-0.652407687222222,-0.569648731649393,-0.3655035430017853,0.375,-1.5976954697119723,8,-0.0243861506843725,0.002208480565371,0.0128091872791519,6.34452296819788,1.2809187279151943,1838,2264,-1.904,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,z,c2c,NFP|unemployment_rate|k36|h3|z|c2c,1,0.1494389371807001,0.2738280185357017,0.1910326996705643,0.2658478598868596,0.6470588235294118,-1.8507194634598187,17,-0.0044074704292745,-0.0016529226807672,0.0223561748765236,3.755837379255974,9.258074832107452,2176,6254,-0.197,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,z,o2o,NFP|unemployment_rate|k36|h3|z|o2o,1,-0.0161829907528169,0.3446623748844749,0.1066923860944166,0.1314142200093179,0.5294117647058824,-1.886829397305863,17,-0.0067197941059182,-0.0016529226807672,0.0223561748765236,3.755837379255974,9.258074832107452,2237,6254,-0.301,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,z,day,NFP|unemployment_rate|k36|h3|z|day,1,0.0524540105878713,0.6472691974044686,0.2613713870778776,0.3851596799618714,0.6470588235294118,-1.331059670706118,17,-0.0039770801830489,-0.0016526584245432,0.0223526007478463,3.755236925638187,9.256594724220625,2176,6255,-0.178,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,z,ongap,NFP|unemployment_rate|k36|h3|z|ongap,1,1.0440619201112935,-0.7355551512783355,-0.416203447132946,-0.3992241323205557,0.4,-1.9881747473391609,10,-0.016540960096902,0.0039124264427235,0.0294498196699904,4.996394642021696,13.825088339222615,1917,2264,-0.562,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,sgn,c2c,NFP|unemployment_rate|k36|h3|sgn|c2c,1,0.1124021909050251,-0.1587742721047263,0.0278995323134713,-0.0068611002758386,0.5333333333333333,-1.4733521756256618,15,-0.0048096347077094,0.0028781579788935,0.028781579788935,4.835305404541094,2.8781579788935083,2630,6254,-0.167,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,sgn,o2o,NFP|unemployment_rate|k36|h3|sgn|o2o,1,0.0818238273001667,0.0183970123558135,0.0597417449062693,0.0431375090602418,0.5333333333333333,-1.9779335448780175,15,-0.0066793179778236,0.0028781579788935,0.028781579788935,4.835305404541094,2.8781579788935083,2923,6254,-0.232,False,False,True,False,True,1,False
NFP,unemployment_rate,36,3,sgn,day,NFP|unemployment_rate|k36|h3|sgn|day,1,0.1384766952552911,0.2963649592672058,0.1928754743631765,0.2375001596468149,0.6,-1.5131770267631768,15,-0.0038334074467926,0.0028776978417266,0.0287769784172661,4.834532374100719,2.877697841726619,2631,6255,-0.133,False,False,True,True,True,2,False
NFP,unemployment_rate,36,3,sgn,ongap,NFP|unemployment_rate|k36|h3|sgn|ongap,1,1.069351002252367,-0.6741002805124144,-0.5506136429869762,-0.1676089943609353,0.5,-1.9764151387977675,8,-0.0260639786569482,0.0061837455830388,0.0379858657243816,6.45583038869258,3.7985865724381616,1960,2264,-0.686,False,False,True,False,True,1,False
NFP,unemployment_rate,36,10,z,c2c,NFP|unemployment_rate|k36|h10|z|c2c,1,0.2855225093880376,0.3922389125989457,0.3194851870974843,0.6469511624358139,0.7647058823529411,-1.2769156851328198,17,-0.0150088513332556,-0.0054553600277955,0.074466200680317,3.755837379255974,30.84425967380876,2176,6254,-0.202,True,True,True,False,True,3,False
NFP,unemployment_rate,36,10,z,o2o,NFP|unemployment_rate|k36|h10|z|o2o,1,0.1603817700576872,0.5327279747533865,0.2986697893311468,0.677429391758757,0.8235294117647058,-1.6571639993283058,17,-0.0137772835390481,-0.0054553600277955,0.074466200680317,3.755837379255974,30.84425967380876,2176,6254,-0.185,True,True,True,False,True,3,False
NFP,unemployment_rate,36,10,z,day,NFP|unemployment_rate|k36|h10|z|day,1,0.265497040469714,0.4614015216888272,0.3341494672277494,0.6700162189766322,0.8823529411764706,-1.5439787052576448,17,-0.0110390337778336,-0.005454487867919,0.0744542956122626,3.755236925638187,30.839328537170264,2176,6255,-0.148,True,True,True,True,True,4,True
NFP,unemployment_rate,36,10,z,ongap,NFP|unemployment_rate|k36|h10|z|ongap,1,1.4474117211036408,0.1515537611335663,0.3165248638893871,0.1478603135675231,0.5,-1.8577105039148831,10,-0.0445060344269489,0.0143618797387749,0.0991860763580273,5.001320600190256,46.46643109540637,1507,2264,-0.449,False,False,True,False,True,1,False
NFP,unemployment_rate,36,10,sgn,c2c,NFP|unemployment_rate|k36|h10|sgn|c2c,1,0.3408503319875172,0.1761756766671185,0.266074755714251,0.4544710082974338,0.6,-1.964131658462724,15,-0.0149072311928439,0.0097537575951391,0.0957787016309561,4.835305404541094,9.577870163095618,2657,6254,-0.156,False,False,True,False,True,1,False
NFP,unemployment_rate,36,10,sgn,o2o,NFP|unemployment_rate|k36|h10|sgn|o2o,1,0.2645050459120531,0.2335313863165961,0.248822758221818,0.4214197227119338,0.7333333333333333,-2.075492661520162,15,-0.0122337725843888,0.0097537575951391,0.0957787016309561,4.835305404541094,9.577870163095618,2868,6254,-0.128,False,True,True,True,True,3,False
