date,adv_share,upvol_share,above_ma20,above_ma60,ext_net,n_traded,xs_disp,xs_skew,ew_minus_aw,log_amount,amt_hhi,log_avgtrade,mean_range,mean_spread,close_loc,fgn_net,trust_net,dealer_net,fgn_gross,trust_gross,fgn_breadth,trust_breadth,fin_intens,fin_dlog,short_fin,short_dlog,fin_turn,sbl_vs_fin,sbl_sell
2009-01-06,0.6064318529862175,0.7039491359847225,,,0.059405940594059396,707.0,0.0260566208432606,0.2950283351259769,-0.0101715810421338,25.108418735872284,0.0147365822574931,11.379491646463515,0.0336622290631809,0.006422002672142,0.5462363612003011,0.059238776642419076,0.012736544889616747,,0.38955352210810534,0.10961509053923583,0.784180790960452,0.536697247706422,,,,,,,0.0011660364578177063
2009-01-07,0.7469325153374233,0.7092219721819228,,,0.076163610719323,709.0,0.0243267494617075,0.3591405028750274,-0.0059401577302612,25.286573579084514,0.0145153970825151,11.481157802405871,0.0340409017950069,0.0065751764256517,0.5377468526774751,0.05465387668392476,0.006478424467050287,,0.40529519898777944,0.09851904451717552,0.6636125654450262,0.467680608365019,,,,,,,0.0009494039596769174
2009-01-08,0.037410071942446,0.0303544189925072,,,-0.3070422535211268,710.0,0.0251747708203387,0.322756119535319,0.0099891850101217,25.03900214566159,0.0160288479210006,11.365627896651164,0.0455957908410494,0.0093234515827669,0.1909748244292922,-0.15021621245979788,-0.015107094847972832,,0.44429514370839085,0.0794914916770064,0.1260815822002472,0.3864734299516908,,,,,,,0.000946336345351725
2009-01-09,0.5812101910828026,0.4342544092564024,,,0.0184921763869133,703.0,0.0227504244345355,0.0935906967696455,0.0096474218912182,24.795887183112907,0.0185316975574584,11.364794292826778,0.0333796628730153,0.0070994369525936,0.5419524153683866,-0.10833902703240175,-0.020464988106066753,,0.43140862540568187,0.08469216371724918,0.4320113314447592,0.671875,,,,,,,0.0016101504691424964
2009-01-10,0.3269230769230769,0.3406523365119733,,,0.005681818181818201,704.0,0.0228671354082522,0.0962139270006567,0.0033336525406003,24.473786166316284,0.0237329770910918,11.281508741837545,0.0310063851072716,0.0082204714232867,0.5309302067091618,-0.08369889747201738,-0.0219572039854684,,0.14550118816867044,0.12025492839645434,0.1094091903719912,0.3625,,,,,,,0.002139988829440243
2009-01-12,0.4006359300476947,0.4309317643500309,,,0.0155586987270156,707.0,0.0220655345862818,0.0092415985523451,0.0067271844809049,24.727118993059282,0.0202887954874089,11.315620599237649,0.0330801047362623,0.0081067461280973,0.343154850593274,-0.10833332972960193,-0.009329355456617368,,0.519681271870404,0.08632622291681595,0.2965986394557823,0.5723076923076923,,,,,,,0.001628347757997127
2009-01-13,0.638095238095238,0.855474495083561,,,0.015536723163841798,708.0,0.0213830940161626,0.2189163397698458,-0.01636292303186,24.617507468364167,0.0187337356468699,11.340361610760473,0.0315371643229043,0.0080055898446007,0.6941349597278875,-0.011590880202278655,-0.008298901653900641,,0.46687598423721144,0.11163611933054826,0.5701357466063348,0.5053191489361702,,,,,,,0.0016189120594470629
2009-01-14,0.5526742301458671,0.5460809655350258,,,0.014184397163120598,705.0,0.0177787593172942,0.1942062271810584,-0.0007429151381622,24.865274846829823,0.0159326545206954,11.401096388393785,0.0281149859564704,0.0066875124787511,0.3573778777451896,-0.0528863586926699,0.005969684645436251,,0.4799868346126067,0.07687925746014539,0.4401772525849335,0.51010101010101,,,,,,,0.0012103776484854627
2009-01-15,0.0434153400868306,0.0342466111638129,,,-0.09929078014184389,705.0,0.02380903455741,-0.015936262993799,0.0099951763227002,24.69749121057433,0.0174422598232959,11.288585910441968,0.030977668516376,0.0080872436857435,0.3474500672606622,-0.2812931956785007,-0.0009686352388991764,,0.5347482017444329,0.07009427231543357,0.1502590673575129,0.3482142857142857,,,,,,,0.0017824467079486938
2009-01-16,0.6477987421383647,0.771176621595932,,,0.026836158192090398,708.0,0.0234487970831571,0.124417509729252,-0.0098915782742435,24.558014861367454,0.0127668630710057,11.261725067957553,0.0342996526751201,0.0078378607492152,0.5308937130490088,-0.14966264087995781,0.004398401819949749,,0.41582547761225763,0.11721334859135178,0.11886586695747,0.6510903426791277,,,,,,,0.0020701221223955154
2009-01-17,0.536115569823435,0.5187370073516927,,,0.0170454545454546,704.0,0.0201206394624143,0.0834671841676801,0.001473115562132,24.22607226589005,0.0136244393750028,11.174502666345807,0.0278966727469163,0.0077187397730965,0.4282598241519146,-0.009558782290679612,0.01009743925960117,,0.07001953397249598,0.15933670680375228,0.1325301204819277,0.6576576576576577,,,,,,,0.002213859665593919
2009-01-19,0.3977455716586151,0.6336422399113311,,,0.0085470085470085,702.0,0.0185916747397798,-0.0616421916718517,-0.0102895716364389,24.280148134607664,0.0159178306469724,11.256284417998812,0.0268503197462903,0.0079289274701125,0.360260119585586,-0.009846681270537018,0.004267305064138624,,0.42195147277907485,0.1425671861015383,0.4035656401944895,0.340080971659919,,,,,,,0.0018026607414040154
2009-01-20,0.121580547112462,0.0771279611809224,,,-0.0242510699001426,701.0,0.0232768438637937,-0.1036766227495316,0.0088547621912089,24.533922811484782,0.0175421660841732,11.305834584800184,0.0341877778761406,0.0081627030893676,0.3718961691862637,-0.18186460288375023,-0.01856805961390874,,0.6062283206326181,0.09022014073501806,0.2687224669603524,0.3551401869158878,,,,,,,0.0015139404935128184
2009-01-21,0.4196141479099678,0.5107948617847858,,,-0.0014124293785311003,708.0,0.0224599460949792,-0.050839378931627,-0.0011354096634757,24.599099272172758,0.0214348351787914,11.300811422424577,0.040840528066145,0.0097648324856784,0.6254507668670887,-0.10825207548087575,-0.0052519061704297005,,0.648708705654088,0.10030962032169696,0.2698072805139186,0.3233082706766917,,,,,,,0.0016431621843486532
2009-02-02,0.4456692913385827,0.6648988569546805,,,0.0155586987270155,707.0,0.0273320569311006,0.0781307426500479,-0.0120787382777514,24.702067186933803,0.0238765653523261,11.470024632727633,0.0358825957830271,0.009240204356898,0.4658410215500091,-0.01042294702463335,0.013454025335589355,,0.8755187011614055,0.06988818736224572,0.2701227830832196,0.5030674846625767,,,,,,,0.0015455094520719504
2009-02-03,0.9467625899280576,0.9402267997773,,,0.11126760563380281,710.0,0.02326413754797,0.2532969948689052,-0.0059731096097542,24.813387146795858,0.0182325379903412,11.4110629290805,0.0386448163085156,0.007457972408014,0.7474332630476467,-0.018138424949802952,0.018439460283821416,,0.4996389686469397,0.1079253013347722,0.7473404255319149,0.4980544747081712,,,,,,,0.0018527916401929255
2009-02-04,0.4784688995215311,0.6883906610466853,,,0.016973125884017,707.0,0.0215157889539387,0.173479772203254,-0.0094116098176271,24.835408681639652,0.0169096719506286,11.401221502608898,0.0313614503320116,0.0072774070135999,0.4025268075657015,0.013683297271613892,0.020502949248307055,,0.46950504217757083,0.11339350631461058,0.3610719322990127,0.4212454212454212,,,,,,,0.0016948151605235499
2009-02-05,0.3684210526315789,0.3595848720248168,,,0.0269121813031161,706.0,0.02148033593242,0.128382194267363,0.0015764866931002,24.74180327385337,0.0179202283472887,11.387750564557194,0.0294419347232048,0.0068675961064029,0.4413765322755702,-0.027221776231564937,0.009943167799047034,,0.46769663396073524,0.12589052308846574,0.5619335347432024,0.4112554112554112,,,,,,,0.0013356059336462871
2009-02-06,0.8358662613981763,0.8713637858839319,0.4844444444444444,,0.0588235294117647,714.0,0.0233063695037641,0.3866815735136128,-0.0125446429216693,24.987570491968704,0.016010571227931,11.431348931954993,0.0315992680190339,0.0073897964657909,0.4566478547749147,0.08992736078950789,0.008836096424284264,,0.40558225788673063,0.08681089326187315,0.5659574468085107,0.5088495575221239,,,,,,,0.0012706239809077433
2009-02-09,0.5109375,0.650664024684984,0.516642547033285,,0.0323033707865168,712.0,0.023557723040432,0.1015145689212231,-0.0151493864544919,25.100211622363346,0.022011604997897,11.535841650648523,0.0343868462425485,0.0078615955651947,0.2753583764548358,0.11099181497541856,0.0029048215297044176,,0.43625089112578674,0.1000725515460929,0.3121951219512195,0.4198473282442748,,,,,,,0.0011426157349248207
2009-02-10,0.6132075471698113,0.7826898580297073,0.5542691751085383,,0.03977272727272731,704.0,0.0234889138884607,0.3285885079159881,-0.012952624591782,24.805741561414646,0.0161569511324496,11.398635427117215,0.0287586680018916,0.0066298499994758,0.55901036236296,0.016400285064019412,0.001347211991099207,,0.4024253212988324,0.09128851742328774,0.5011389521640092,0.4717741935483871,,,,,,,0.001316887535860704
2009-02-11,0.5309033280507132,0.7856962696021861,0.5916305916305916,,0.0510638297872341,705.0,0.0250842793774183,0.3431094786625007,-0.0163024205064975,25.02523788704706,0.0145527201422887,11.386585039906233,0.0373061992718395,0.0070637893400598,0.7654056092555948,-0.011931704210812579,-0.009695609944769647,,0.35871011867213315,0.08410216970043541,0.5104166666666666,0.2620481927710843,,,,,,,0.0011807390234356717
2009-02-12,0.2549923195084485,0.0707363054205072,0.5092989985693849,,-0.0409604519774011,708.0,0.0271736911694738,-0.3463509025903203,0.0188929354001945,25.10549160732896,0.0138953362703097,11.36898529642514,0.0414572761967887,0.008033378685333,0.2476107893283413,-0.05367498532944641,-0.0034052093337048456,,0.40404928134819657,0.07903642195890269,0.2463235294117647,0.4044943820224719,,,,,,,0.0010442045408834003
2009-02-13,0.9136904761904762,0.9894747778578328,0.6776504297994269,,0.0735502121640735,707.0,0.0217792214515616,0.3609962989919034,-0.0193437557099423,25.026184634905153,0.0163653811059845,11.430827104332579,0.0320024791659786,0.0062385595378418,0.7214892373752397,0.022531813312805963,-0.003414979900017754,,0.34299819518107316,0.06669554411825546,0.6088631984585742,0.4751131221719457,,,,,,,0.0014180164261032681
2009-02-16,0.5894245723172629,0.6156722989809094,0.7067238912732475,,0.058321479374111,703.0,0.0241483716208655,0.4001814634415992,-0.0053114629070762,25.004119857849705,0.0156178001726682,11.42372042782563,0.0316273216628303,0.0062562205750749,0.5188175677780651,-0.02703078258558122,0.012303560297150318,,0.3141148704477374,0.08438857011065469,0.5478615071283096,0.4780487804878048,,,,,,,0.0009374408575121929
2009-02-17,0.1930618401206636,0.1413349936112518,0.61,,0.0141242937853107,708.0,0.0254031488884551,-0.0836336624834741,0.0127434881079998,24.86862481423784,0.0155360021033506,11.355597325057506,0.0355466608014645,0.0066652676439356,0.3561535121473534,-0.09619499055301062,-0.011435441163388415,,0.356552657964914,0.07553358515107396,0.26,0.4312267657992565,,,,,,,0.001164438859304726
2009-02-18,0.3783783783783784,0.5114980214967474,0.6239316239316239,,0.007042253521126701,710.0,0.0225943310225777,0.0771377071725383,-0.0037486648515474,24.868287196319855,0.0154711388407911,11.38931007684959,0.0337002093880052,0.0080448425643244,0.6410697602237663,0.013899878262286416,-0.015160909611704647,,0.5178477399784646,0.0791299983909755,0.5718157181571816,0.4533333333333333,,,,,,,0.0013056613552139614
2009-02-19,0.521193092621664,0.8320561681665551,0.6362339514978602,,0.0155148095909732,709.0,0.02117707890366,0.2544324698758084,-0.0156279761684823,24.982814144583735,0.0160359734361416,11.380291382636994,0.0363023878161675,0.0073501264094127,0.6109076435944066,-0.010639562186838555,0.005189521702462859,,0.3867160776671612,0.06383679384503706,0.3252496433666191,0.46524064171123,,,,,,,0.0013959703741046661
2009-02-20,0.1437308868501529,0.1101170184500044,0.4634146341463415,,0.0028571428571428003,700.0,0.0190865621683403,-0.0231614504064012,0.0048519481527162,24.823458990151956,0.015967714028474,11.366581005318393,0.0303863480851991,0.0066488988899406,0.2850827978177416,-0.16720306573209132,-0.0009048093019674217,,0.40528997946923667,0.06910054172685628,0.2070796460176991,0.4046692607003891,,,,,,,0.0011776754104296976
2009-02-23,0.6085578446909667,0.7527795480807439,0.5242857142857142,,0.046941678520625904,703.0,0.0239873253542679,0.3023868122573281,-0.0086003458245515,24.797843763917612,0.0165613127277194,11.387958326862867,0.0347207978452129,0.0069207857678446,0.6988352262780599,0.009762663615445626,-0.015017021496955486,,0.40812593444853607,0.10036841647039908,0.5725338491295938,0.4921875,,,,,,,0.001442738071971496
2009-02-24,0.269108280254777,0.3449904468052718,0.4523470839260313,,0.011363636363636302,704.0,0.0199320506567456,0.0953360658927649,0.0009683981977722,24.743225609363293,0.0171230408005478,11.343920127041352,0.0284562908052005,0.0066708517050355,0.5278639133320855,-0.14996501234549903,-0.01826913344179205,,0.39308594422245446,0.09934692538166827,0.2922077922077922,0.4509803921568627,,,,,,,0.001177743923905104
2009-02-25,0.7674418604651163,0.7171368899943749,0.5647226173541963,,0.038297872340425504,705.0,0.0211857222367216,0.3146363895730674,-0.0022575907409194,24.976823526684925,0.0172763161403028,11.389464036745402,0.0296384809074575,0.0065051021500559,0.3648263934367035,0.004968483537340955,0.01511220129369366,,0.36049998891563484,0.07009634119412433,0.6636197440585009,0.49,,,,,,,0.000955308680446571
