family,feature,n,corr_same_day,IC_2009_2013,IC_2014_2018,IC_2019_2022,IC_2023_2026,IC_sign_agree,corr_spot_h1,corr_spot_h2
breadth,adv_share,4334,0.7564611294574856,-0.057657422646849525,-0.02131018583225059,0.012251821996317238,-0.033145753576132204,0.75,-0.03546237546199545,-0.016901654868897633
breadth,upvol_share,4334,0.8200621489709514,-0.05194921114616719,-0.006409225437038528,0.012908623064872515,-0.02476232281853107,0.75,0.007023489876797303,0.02453693371018381
breadth,above_ma20,4316,0.22159510140326658,-0.02329102124170728,-0.014112268424345828,0.017156811960597037,-0.07312078577372487,0.75,-0.05991497103722925,-0.030685088630079738
breadth,above_ma60,4276,0.11410991791436809,-0.043963231062758276,-0.010163472975356084,0.004848240605558706,-0.07205418855973683,0.75,0.031157299983452836,-0.03582295045244835
breadth,ext_net,4334,0.5404887366549547,-0.04483851861590122,-0.03228838182866927,0.0435185112492827,-0.04263859487896356,0.75,-0.10162010788016718,0.10800066648170525
breadth,n_traded,4334,0.01131691537935539,-0.06369455699263157,0.0012607468992185736,-0.058260706578121435,0.03464754572035964,0.5,0.7424857558641671,0.9428968740173498
xsec,xs_disp,4334,-0.03859398795295797,0.059350325227503165,-0.0020951173381017875,0.046171765494091854,0.046307277093384225,0.75,-0.4341649051700558,0.4305082239299496
xsec,xs_skew,4334,0.4205209170411118,-0.03920369089163227,-0.015084153147119174,-0.020681832861133734,-0.01400799040773188,1.0,-0.118211594527667,0.05781685042663382
xsec,ew_minus_aw,4334,-0.5307679011905176,0.005647745235555046,-0.0063130679856018244,-0.007442183992841339,0.015292501098226576,0.5,-0.08947953242506906,-0.123327365485064
liquidity,log_amount,4334,0.025832111303792083,-0.004206638472592207,-0.02947721380225885,-0.030100250744116444,0.03024677124524819,0.75,0.024870080846053754,0.9117604716956195
liquidity,amt_hhi,4334,-0.07204381934137202,0.02475686573012803,-0.0021900142380742783,-0.011562503363674724,0.03202572137881586,0.5,0.04612280590094616,0.11229225300858263
liquidity,log_avgtrade,4334,0.11993395709790584,-0.04742323575441434,-0.04731680639499957,-0.03140785124286773,0.006721601555015273,0.75,0.3202209652950627,0.775448512562201
liquidity,mean_range,4334,-0.2216241784338887,0.09053956982692367,0.023194557428776953,0.03957384495584162,0.05068871438615894,1.0,-0.5135372644237052,0.35376674572280137
liquidity,mean_spread,4334,-0.16836625228454644,0.09865776376326366,0.026491345548979306,0.04259939416313838,0.06354630123756623,1.0,-0.45255103676157976,-0.3734611948601945
liquidity,close_loc,4334,0.46551802857919966,-0.0796559439143301,0.0072503494107252165,0.02619316060453107,-0.04462267605226037,0.5,-0.04730979805061851,-0.0579997723913335
flow,fgn_net,4334,0.5777028440001715,-0.05527062864223798,-0.016164617057660872,-0.013034558402886174,-0.01274207762627793,1.0,0.12104380718482013,0.01744945617513276
flow,trust_net,4334,0.21715801587922692,0.016475009324175588,-0.008214312508507767,-0.028208409100257136,0.04637516730492471,0.5,-0.038988121463591804,0.15720508109776496
flow,dealer_net,2866,0.5181903108441643,,-0.033148311936981374,-0.011639290850095128,0.04202067693565234,0.6666666666666666,0.019850561992206132,0.04354487769153557
flow,fgn_gross,4334,-0.01840400580949994,-0.010162578539235375,0.01745813032657064,-0.018273517361187458,0.04741828863993178,0.5,0.37357694369217664,0.582923864366003
flow,trust_gross,4334,0.02739773596295795,0.028816759006970043,0.004641075755653946,0.006946452730488711,-0.002279472679035421,0.75,-0.6521670216024088,0.39390317558518917
flow,fgn_breadth,4334,0.5090119850459822,-0.10337646616460737,-0.027036053772730086,-0.011505274872570732,-0.029757971085558277,1.0,0.03579877602491945,0.0571169631792659
flow,trust_breadth,4334,0.03531715643911092,0.019358571664944074,-0.03091562296925542,-0.014303954595833841,0.0016810368361971633,0.5,-0.07829423678907495,-0.1165040950278283
leverage,fin_intens,4084,-0.043043670862666354,0.011299251507087816,0.0012693623957287627,-0.019068214766730984,-0.03445291409451513,0.5,-0.2450840623858427,-0.5888216921767562
leverage,fin_dlog,4083,0.08055452067602525,-0.10681764219628855,0.031080347600428323,-5.2692879244500716e-05,-0.06926187269509901,0.75,0.01006894945376341,0.11353472859357705
leverage,short_fin,4084,0.02550882079032701,-0.008256248907120373,-0.00274689032094759,0.052329086062083016,-0.0008137064532879352,0.75,0.030232432869511012,-0.632367815066922
leverage,short_dlog,4083,0.11943959917072391,-0.017671363349203564,0.009349920697333886,-0.03593830007405765,0.011115623374807253,0.5,-0.0005627926699911596,-0.010049051623270964
leverage,fin_turn,4084,-0.009980346212894424,-0.023879639292651036,0.007934793301776807,0.023219815307147614,0.015452230468844572,0.25,0.013847754662017285,0.2566463371505197
leverage,sbl_vs_fin,4084,0.0026821082242634324,-0.002503714740481793,0.005565043818005312,0.05125345647434033,-0.011508689398029261,0.5,-0.22481796527117712,-0.749072922094161
leverage,sbl_sell,4334,-0.008738532294255192,0.037169357543012066,0.007233270554476761,0.009473182448077848,-0.010343365682249304,0.75,-0.5516951476512044,-0.7508611480630853
