date,n_stocks,adv_share,upvol_share,xs_disp,xs_skew,ew_minus_aw,ext_up_share,ext_dn_share,above_ma20,above_ma60,tot_amount,amt_hhi,avg_trade_ntd,mean_range,mean_spread,close_loc
2009-01-06,707.0,0.6064318529862175,0.7039491359847225,0.026056620843260696,0.2950283351259769,-0.010171581042133854,0.06223479490806223,0.002828854314002829,,,80250492489.0,0.014736582257493176,87508.53815185283,0.03366222906318099,0.0064220026721420005,0.5462363612003011
2009-01-07,709.0,0.7469325153374233,0.7092219721819228,0.024326749461707535,0.3591405028750274,-0.005940157730261256,0.07757404795486601,0.0014104372355430183,,,95900168808.0,0.01451539708251518,96873.16285572288,0.03404090179500696,0.00657517642565177,0.5377468526774751
2009-01-08,710.0,0.03741007194244604,0.03035441899250723,0.025174770820338758,0.322756119535319,0.00998918501012172,0.004225352112676056,0.3112676056338028,,,74868729652.0,0.016028847921000695,86303.71266958155,0.04559579084104945,0.009323451582766958,0.19097482442929226
2009-01-09,703.0,0.5812101910828026,0.4342544092564024,0.02275042443453552,0.09359069676964558,0.009647421891218278,0.02702702702702703,0.008534850640113799,,,58710662023.0,0.0185316975574584,86231.79954233477,0.03337966287301531,0.007099436952593635,0.5419524153683866
2009-01-10,704.0,0.3269230769230769,0.3406523365119733,0.022867135408252245,0.09621392700065676,0.0033336525406003955,0.019886363636363636,0.014204545454545454,,,42543212725.0,0.023732977091091893,79340.87653485214,0.03100638510727164,0.008220471423286779,0.5309302067091618
2009-01-12,707.0,0.40063593004769477,0.43093176435003094,0.022065534586281868,0.00924159855234518,0.00672718448090495,0.02263083451202263,0.007072135785007072,,,54808931054.0,0.020288795487408962,82094.03185867748,0.0330801047362623,0.008106746128097309,0.343154850593274
2009-01-13,708.0,0.638095238095238,0.855474495083561,0.021383094016162684,0.2189163397698458,-0.016362923031860044,0.01977401129943503,0.00423728813559322,,,49118789088.0,0.01873373564686995,84150.45534879099,0.031537164322904335,0.008005589844600758,0.6941349597278875
2009-01-14,705.0,0.5526742301458671,0.5460809655350258,0.017778759317294276,0.19420622718105846,-0.000742915138162267,0.018439716312056736,0.00425531914893617,,,62929119763.0,0.015932654520695408,89419.70836660746,0.028114985956470436,0.006687512478751126,0.35737787774518964
2009-01-15,705.0,0.04341534008683068,0.034246611163812904,0.023809034557410087,-0.01593626299379904,0.009995176322700229,0.0028368794326241137,0.10212765957446808,,,53208883933.0,0.017442259823295943,79904.37693701974,0.030977668516376008,0.008087243685743562,0.3474500672606622
2009-01-16,708.0,0.6477987421383647,0.771176621595932,0.023448797083157124,0.12441750972925208,-0.009891578274243504,0.03954802259887006,0.012711864406779662,,,46281810606.0,0.012766863071005762,77786.64738211448,0.03429965267512019,0.007837860749215275,0.5308937130490088
2009-01-17,704.0,0.536115569823435,0.5187370073516927,0.020120639462414384,0.0834671841676801,0.001473115562132055,0.019886363636363636,0.002840909090909091,,,33208518653.0,0.013624439375002826,71289.38136475558,0.02789667274691634,0.007718739773096511,0.42825982415191466
2009-01-19,702.0,0.3977455716586151,0.6336422399113311,0.018591674739779847,-0.06164219167185172,-0.010289571636438994,0.009971509971509971,0.0014245014245014246,,,35053739480.0,0.015917830646972497,77364.58664571462,0.026850319746290385,0.007928927470112578,0.36026011958558607
2009-01-20,701.0,0.12158054711246201,0.07712796118092248,0.023276843863793712,-0.10367662274953163,0.008854762191208954,0.007132667617689016,0.03138373751783167,,,45180111301.0,0.01754216608417323,81294.57659808766,0.034187777876140676,0.008162703089367654,0.3718961691862637
2009-01-21,708.0,0.41961414790996787,0.5107948617847858,0.022459946094979213,-0.050839378931627016,-0.0011354096634757437,0.014124293785310734,0.015536723163841809,,,48222872188.0,0.021434835178791443,80887.24464334238,0.04084052806614508,0.009764832485678452,0.6254507668670887
2009-02-02,707.0,0.4456692913385827,0.6648988569546805,0.02733205693110069,0.07813074265004798,-0.01207873827775149,0.03536067892503536,0.019801980198019802,,,53452924464.0,0.02387656535232613,95800.6388701699,0.03588259578302716,0.009240204356898044,0.4658410215500091
2009-02-03,710.0,0.9467625899280575,0.9402267997773001,0.02326413754797002,0.2532969948689052,-0.0059731096097542236,0.11267605633802817,0.0014084507042253522,,,59747139181.0,0.01823253799034125,90315.36943551325,0.03864481630851565,0.0074579724080140524,0.7474332630476467
2009-02-04,707.0,0.4784688995215311,0.6883906610466853,0.021515788953938717,0.17347977220325403,-0.009411609817627132,0.024045261669024046,0.007072135785007072,,,61077456947.0,0.016909671950628674,89430.89674313317,0.031361450332011646,0.007277407013599996,0.4025268075657015
2009-02-05,706.0,0.3684210526315789,0.35958487202481687,0.021480335932420047,0.128382194267363,0.001576486693100261,0.029745042492917848,0.0028328611898017,,,55619698991.0,0.017920228347288732,88234.25670089028,0.029441934723204864,0.006867596106402938,0.4413765322755702
2009-02-06,714.0,0.8358662613981763,0.8713637858839319,0.023306369503764107,0.3866815735136128,-0.01254464292166933,0.06162464985994398,0.0028011204481792717,0.48444444444444446,,71115453004.0,0.016010571227931064,92166.21695697252,0.031599268019033934,0.007389796465790941,0.45664785477491476
2009-02-09,712.0,0.5109375,0.650664024684984,0.023557723040432098,0.10151456892122315,-0.015149386454491903,0.03651685393258427,0.004213483146067416,0.516642547033285,,79594562914.0,0.022011604997897078,102318.0778750323,0.03438684624254851,0.007861595565194748,0.27535837645483585
2009-02-10,704.0,0.6132075471698113,0.7826898580297073,0.023488913888460774,0.32858850791598815,-0.012952624591782032,0.048295454545454544,0.008522727272727272,0.5542691751085383,,59292079144.0,0.016156951132449648,89199.92048261648,0.028758668001891644,0.00662984999947588,0.55901036236296
2009-02-11,705.0,0.5309033280507132,0.7856962696021861,0.025084279377418382,0.3431094786625007,-0.01630242050649755,0.05531914893617021,0.00425531914893617,0.5916305916305916,,73845276788.0,0.014552720142288717,88131.47740718153,0.03730619927183958,0.007063789340059841,0.7654056092555948
