family,series,n_cells,med_SR,med_IS,med_OOS1,med_OOS2,med_beta,med_beta_per_w,med_SRofSR
breadth,above_ma20,72,0.0514199588524745,0.19373186078382215,-0.19909064580791455,0.24012058699566657,0.2183294400579571,0.3608376444461585,0.08257950581363985
breadth,above_ma60,72,0.16934398922523658,0.25596957158553,-0.1623698931671283,0.380317664903032,0.2090175541694672,0.33793960656210287,0.23960239237116074
breadth,adv_share,72,0.00446081150201015,-0.20037595580082124,-0.5460047537692818,0.6791554550324863,0.06412355102787184,0.10985443273371806,-0.0727051256281266
breadth,ext_net,72,-0.01334834619071025,0.05581777685326995,-0.2916209493785643,0.2323174784541324,0.07167235276203154,0.14950298653039196,-0.05473482181585755
breadth,n_traded,72,-0.0638406996153,-0.07484540942535856,-0.21124760973917464,-0.0592704906104424,0.004464033193676657,0.00868933887271281,-0.1291031989948967
breadth,upvol_share,72,-0.23465675680136125,-0.19722246220926234,-0.6817203693891012,0.0709328442357764,-0.10087989436561405,-0.1736645990544587,-0.3891356006368658
flow,dealer_net,72,-0.08111010270465005,0.09149368041243919,-0.4140023650871283,0.1061303650932649,0.11538065368128489,0.20925619994974665,-0.19950617208467375
flow,fgn_breadth,72,0.28568325097392905,0.35536356835711946,-0.0953477925929712,0.5625736601868904,0.04054227849910505,0.07016535183200565,0.20200273746136124
flow,fgn_gross,72,0.012616364577619499,-0.009777985460902049,-0.3226279638073563,0.18842216601612943,0.12610890577781314,0.2226323074160007,-0.0110132660630085
flow,fgn_net,72,-0.1281828720922191,-0.15837239745681153,-0.1408361353268312,-0.11508725688737124,0.1505510078188576,0.2740618199853412,-0.18478759209394074
flow,trust_breadth,72,-0.1270856340974916,-0.17035879413938892,-0.4491102863610221,0.0601429948202427,0.08106258413842299,0.1396740376407645,-0.25098830554077833
flow,trust_gross,72,-0.21561375005268452,-0.12541518624751813,-0.8011832528041631,-0.29324170059969384,-0.055188896735993254,-0.10043511793232004,-0.32469224494656723
flow,trust_net,72,-0.0277286061078082,0.16096188431686945,0.30225960697834553,-0.3757906748991514,0.0060225515743572,0.01109826637684595,-0.09627596822634216
leverage,fin_dlog,72,0.2976005475887214,0.29326071392182573,-0.1984384148508718,0.8190905781467585,0.11273754334927724,0.2429826882593094,0.11574519588236826
leverage,fin_intens,72,0.04758933062253615,-0.0337945996744417,-0.36678124811795565,0.3793528877280177,0.0175319340475927,0.028783147715589298,-0.039624489337327345
leverage,fin_turn,72,-0.13947255347643134,-0.06307752620849985,-0.2853352911598953,0.10047416380766586,-0.0193629866746667,-0.03235641470946135,-0.16250116982529605
leverage,sbl_sell,72,0.13885281746972844,-0.06440746940521246,-0.06524867501226544,0.5536562177387512,-0.09277415503331396,-0.15441482896444925,0.14884973916685906
leverage,sbl_vs_fin,72,0.11369378942260405,0.18386610908041634,0.19934615358025276,0.0371456894042104,0.0095539906004214,0.014231067663056901,0.2315183800942166
leverage,short_dlog,72,-0.1458591075871869,-0.14371649051711455,-0.4363299814964178,0.0602412912491024,0.0365887290717248,0.07756852694175309,-0.20057991789950874
leverage,short_fin,72,0.274145438044476,0.16895279101661864,0.6061517813504818,0.11051750585768319,0.014012888994959349,0.021410009854158002,0.3088663622964771
liquidity,amt_hhi,72,0.01143658112060675,0.2441887417150165,-0.5393185737312095,0.1672065267576634,0.09133955287567455,0.17041594549749975,-0.0305306686955576
liquidity,close_loc,72,0.199493208376297,0.1239721471293977,-0.12291025194595859,0.5139134668127499,0.0013026675505469999,0.00240937307174335,0.1617920699879202
liquidity,log_amount,72,-0.11211980966838506,-0.0979320462871468,-0.15708596372166028,0.15060196783528684,-0.0011602986016830499,-0.0018503613104718,-0.13127324480406538
liquidity,log_avgtrade,72,0.19117947558816817,0.10404495344797796,-0.25340177982053513,0.3563643640379275,-0.0675102262088048,-0.11188507981891005,0.13581668465226815
liquidity,mean_range,72,-0.014647772064531498,-0.0366492288831317,-0.30963614389105376,0.44766923835713057,0.0202661976564247,0.0430304917897051,-0.07874344603915956
liquidity,mean_spread,72,0.11360207907780336,0.18537295497078216,-0.00167149805686495,0.12738939260004328,0.2210877201110085,0.3813219948633571,0.06055276047117285
xsec,ew_minus_aw,72,-0.31321414709961326,-0.0566653634488307,-0.44996198496245465,-0.513395042325692,-0.07887160860726485,-0.1370915169589793,-0.3021450989905
xsec,xs_disp,72,-0.154905619703927,0.005004103762110799,-0.08396029340205691,-0.4006647310559972,-0.0634921341589619,-0.11497048811860916,-0.1199897964644023
xsec,xs_skew,72,0.04561029392877605,-0.1971907196499986,-0.16216771986556272,0.46897961528941484,0.056713507604556554,0.0910272707009821,-0.085346710566744
