cell,regime,series,family,transform,window,variant,sign,SR_IS,SR_OOS1,SR_OOS2,is_mirror,full_sign,n_bars,SR_gross,SR_net,SR_of_SR,positive_years,yr_sr_min,n_years,beta,mean_exec_w,abs_exec_w,max_dd_pct,max_dd_days,turnover_ann,held_pct,start_date,end_date,beta_per_w
night|sbl_vs_fin|dev|w252|ongap,night,sbl_vs_fin,leverage,dev,252,ongap,-1,0.7513366000766644,0.4327028481559865,,False,-1,2265,0.6212385284631092,0.5966667172937418,0.6867776554878484,0.7,-0.48818306391393945,10,-0.042516960300806504,-0.06127141533007372,0.6587333651995183,-8.685492923310568,321,9.219132636891954,99.24944812362031,2017-05-16,2026-09-02,-0.06454350507648704
night|trust_gross|selfz|w20|o2o,night,trust_gross,flow,selfz,20,o2o,-1,0.43248064497563465,0.15842596921908872,,False,-1,2270,0.4433148960163933,0.31131075740376873,0.6819178361099987,0.8,-0.6396411446558821,10,0.08781829485367414,0.05290224774893195,0.555884416295172,-23.431824138560653,531,116.66247957506553,99.2511013215859,2017-05-16,2026-09-02,0.15797941492758635
full|sbl_sell|robustz|w252|o2o,full,sbl_sell,leverage,robustz,252,o2o,-1,0.12785022483343397,0.3698041486681419,1.0976091982539116,False,-1,4021,0.6298756921631856,0.5197070034258331,0.6775113139971417,0.7647058823529411,-1.2719121459142517,17,-0.08552549911033597,0.05050926457187278,0.5712838568208781,-28.062029696855777,1406,80.25593444808189,99.0052225814474,2010-04-13,2026-09-02,-0.14970753696117806
night|trust_gross|rankc|w120|o2o,night,trust_gross,flow,rankc,120,o2o,-1,0.40460440171015943,0.19600642254516856,,False,-1,2270,0.4387530490949982,0.31334985537055426,0.6759899005880686,0.7,-0.4479247922840757,10,0.008514966055670124,-0.021212540893261713,0.6213389630892275,-30.66350830754815,329,118.2826452246544,99.60352422907489,2017-05-16,2026-09-02,0.013704220339466028
night|sbl_vs_fin|robustz|w120|o2o,night,sbl_vs_fin,leverage,robustz,120,o2o,-1,0.2771565431499034,0.4131781485032863,,False,-1,2270,0.34791019385645366,0.33557700090313064,0.6737095496333163,0.8,-0.9114997440565941,10,0.03504660956545821,-0.03266801819562189,0.5499781993525014,-26.009422617384054,511,11.265851227139885,99.11894273127754,2017-05-16,2026-09-02,0.0637236341489884
night|sbl_sell|rankc|w120|o2o,night,sbl_sell,leverage,rankc,120,o2o,-1,0.4290119881786467,0.9772850733688505,,False,-1,2270,0.7673870852601469,0.6754430803122765,0.6671352651602541,0.7,-0.8530860063785665,10,-0.0724175891936467,0.047816437390941866,0.6208779668944073,-20.154807126083497,537,98.73102225744192,99.33920704845815,2017-05-16,2026-09-02,-0.11663739584104578
night|sbl_sell|robustz|w120|o2o,night,sbl_sell,leverage,robustz,120,o2o,-1,0.35067894763311225,0.8582550103605432,,False,-1,2270,0.6601703255931292,0.5740407471229814,0.6625192038521241,0.7,-0.7940090022320143,10,-0.09787808229492939,0.059158089931368486,0.5417945656103028,-20.33025842484646,567,84.51332069084418,99.4273127753304,2017-05-16,2026-09-02,-0.18065534154015542
night|sbl_sell|signth|w120|o2o,night,sbl_sell,leverage,signth,120,o2o,-1,0.5086345331803457,0.9028231546100449,,False,-1,2270,0.7694701634049702,0.6828151555097312,0.6517692279524783,0.7,-0.8474279279895085,10,-0.06390030042000086,0.05784813961622446,0.6383006233717768,-25.059694876105,593,92.81456958933944,99.4273127753304,2017-05-16,2026-09-02,-0.10011003918882634
night|sbl_sell|bdtanh|w252|c2c,night,sbl_sell,leverage,bdtanh,252,c2c,-1,0.22239607322585084,0.9903920814662895,,False,-1,2270,0.6488392334055304,0.5755092964941625,0.645234200153842,0.7,-1.2524180594860659,10,-0.04584219807227552,0.10916461387229523,0.6240468782524698,-32.645466328105755,637,79.99802642505492,98.98678414096916,2017-05-16,2026-09-02,-0.07345954233542244
night|sbl_sell|signth|w252|o2o,night,sbl_sell,leverage,signth,252,o2o,-1,0.44612560234830345,1.2749508064602706,,False,-1,2270,0.8867985157404198,0.8125339456573171,0.6434881256672457,0.7,-0.8561942106007612,10,0.017087197590049147,0.10083041985301,0.6546898641736739,-22.422831028048503,862,74.90458571609491,99.69162995594714,2017-05-16,2026-09-02,0.026099682498698824
