grid,cell,SR_pre,SR_post,dSR
QNT-14 window grid,full | us_breakeven_10y|robustz|w120 | o2o,0.0034345970387778,-0.0262045515175014,-0.0296391485562792
QNT-14 window grid,full | us_breakeven_10y|robustz|w120 | day,0.1701820732900799,0.096075550652702,-0.0741065226373779
QNT-14 window grid,full | us_breakeven_10y|robustz|w252 | c2c,0.0633947583529834,0.0273285186288146,-0.0360662397241688
QNT-14 window grid,full | us_breakeven_10y|robustz|w252 | o2o,0.0034116597135471,0.0680072807724006,0.06459562105885351
QNT-14 window grid,full | us_breakeven_10y|robustz|w252 | day,0.0738083325696271,-0.0092967029175941,-0.0831050354872212
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w60 | c2c,0.0009066673157157,0.0789780180894949,0.07807135077377919
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w60 | o2o,0.038376177386437,0.0471726011723012,0.008796423785864205
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w60 | day,0.1324267676074416,0.0993974452677582,-0.03302932233968339
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w120 | c2c,0.0716161329698883,-0.0478110528882562,-0.11942718585814449
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w120 | o2o,-0.042496456995334,0.0500734730056751,0.0925699300010091
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w120 | day,0.1131124255578915,0.0093807022230316,-0.1037317233348599
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w252 | c2c,-0.0149667792516279,0.0364447729418958,0.051411552193523696
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w252 | o2o,0.0560584202192818,-0.0022441477752424,-0.0583025679945242
QNT-14 window grid,full | us_breakeven_10y|bdtanh|w252 | day,0.1795408950663437,0.0795257468216829,-0.10001514824466079
QNT-14 window grid,full | us_breakeven_10y|rankc|w60 | c2c,-0.0611215209411782,0.0310871685623318,0.09220868950351001
QNT-14 window grid,full | us_breakeven_10y|rankc|w60 | o2o,-0.0315863803640008,0.0013539609923508,0.0329403413563516
QNT-14 window grid,full | us_breakeven_10y|rankc|w60 | day,0.076745221513092,0.0573388950601678,-0.0194063264529242
QNT-14 window grid,full | us_breakeven_10y|rankc|w120 | c2c,-0.07945151604673,-0.0148878913222186,0.0645636247245114
QNT-14 window grid,full | us_breakeven_10y|rankc|w120 | o2o,-0.0282737718539958,-0.0491779072651293,-0.0209041354111335
QNT-14 window grid,full | us_breakeven_10y|rankc|w120 | day,0.1261772477028121,0.0587634699865423,-0.0674137777162698
QNT-14 window grid,full | us_breakeven_10y|rankc|w252 | c2c,-0.0066632819646598,0.0610846246680085,0.0677479066326683
QNT-14 window grid,full | us_breakeven_10y|rankc|w252 | o2o,0.0549561522614866,0.0240086914134053,-0.030947460848081296
QNT-14 window grid,full | us_breakeven_10y|rankc|w252 | day,0.1441336392646398,0.0594049257457159,-0.08472871351892389
QNT-14 window grid,full | us_breakeven_10y|signth|w60 | c2c,0.0492432053093686,0.1575036717041003,0.10826046639473169
QNT-14 window grid,full | us_breakeven_10y|signth|w60 | o2o,0.0376382698113244,0.1251504025247941,0.08751213271346969
QNT-14 window grid,full | us_breakeven_10y|signth|w60 | day,0.1075346653625922,0.161264167108474,0.0537295017458818
QNT-14 window grid,full | us_breakeven_10y|signth|w120 | c2c,-0.0186013352236562,0.1357627702884796,0.1543641055121358
QNT-14 window grid,full | us_breakeven_10y|signth|w120 | o2o,0.0466906433586156,0.0311278465299514,-0.0155627968286642
QNT-14 window grid,full | us_breakeven_10y|signth|w120 | day,0.1709334014104739,0.0541285575949762,-0.11680484381549769
QNT-14 window grid,full | us_breakeven_10y|signth|w252 | c2c,0.0403533864331045,-0.0775284594166723,-0.1178818458497768
QNT-14 window grid,full | us_breakeven_10y|signth|w252 | o2o,-0.0319608269136421,-0.0596572055828187,-0.027696378669176604
QNT-14 window grid,full | us_breakeven_10y|signth|w252 | day,0.0872595138171068,0.028115282039112,-0.0591442317779948
QNT-14 window grid,full | us_breakeven_10y|dev|w60 | c2c,-0.0282034700182595,0.0128125756121275,0.041016045630387
QNT-14 window grid,full | us_breakeven_10y|dev|w60 | o2o,0.004294648255381,-0.0034365580059002,-0.007731206261281201
QNT-14 window grid,full | us_breakeven_10y|dev|w60 | day,0.1037494754465928,0.0702819114881727,-0.0334675639584201
QNT-14 window grid,full | us_breakeven_10y|dev|w120 | c2c,0.0626637957723675,0.0284843476669154,-0.03417944810545209
QNT-14 window grid,full | us_breakeven_10y|dev|w120 | o2o,0.0258541334889675,0.0579774241951593,0.0321232907061918
QNT-14 window grid,full | us_breakeven_10y|dev|w120 | day,0.0561195869230317,0.0057624146025176,-0.0503571723205141
QNT-14 window grid,full | us_breakeven_10y|dev|w252 | c2c,-0.0222339479323921,0.0354411455160673,0.057675093448459405
QNT-14 window grid,full | us_breakeven_10y|dev|w252 | o2o,0.0099117484040712,-0.0045090460970212,-0.014420794501092401
QNT-14 window grid,full | us_breakeven_10y|dev|w252 | day,0.1617718054149408,0.1161111176762,-0.045660687738740796
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w60 | c2c,0.0427466992648339,0.0738337296282923,0.031087030363458397
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w60 | o2o,0.0092132754635654,0.0805645770768574,0.07135130161329199
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w60 | day,0.1828476961773059,0.2368762249291308,0.0540285287518249
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w120 | c2c,-0.0869256041310327,-0.0705846085121393,0.016340995618893406
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w120 | o2o,-0.1142064093231303,-0.0677839201445109,0.046422489178619394
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w120 | day,0.1374096506348642,0.1831083325924629,0.045698681957598686
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w252 | c2c,-0.0447775856294865,-0.0243502272215854,0.020427358407901098
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w252 | o2o,-0.0978440991462865,0.0052013281109846,0.1030454272572711
QNT-14 window grid,full | us_breakeven_5y5y|selfz|w252 | day,0.0862165123862313,0.1707101350100064,0.08449362262377509
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w60 | c2c,-0.0871600920772321,-0.0424483994242443,0.04471169265298781
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w60 | o2o,-0.1389725421159972,-0.044769986708575,0.09420255540742219
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w60 | day,0.0743406305108431,0.1557966932818777,0.0814560627710346
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w120 | c2c,-0.0520528219208024,0.0105233869950372,0.06257620891583959
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w120 | o2o,-0.0733343328082467,0.0059183551441721,0.0792526879524188
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w120 | day,0.1302693085541554,0.1824163702436035,0.052147061689448104
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w252 | c2c,-0.0414367584143569,-0.0434871624444635,-0.0020504040301065965
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w252 | o2o,-0.1056595811829439,0.0042894354583897,0.1099490166413336
QNT-14 window grid,full | us_breakeven_5y5y|robustz|w252 | day,0.023421521580634,0.1237112911646682,0.1002897695840342
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w60 | c2c,0.1247847734708235,0.1428778338536147,0.018093060382791182
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w60 | o2o,0.0407945440397455,0.1465644090416089,0.10576986500186339
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w60 | day,0.1783847604452058,0.2967557228820014,0.11837096243679562
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w120 | c2c,-0.0514563078902534,-0.0666906517732106,-0.015234343882957198
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w120 | o2o,-0.0978229281756799,-0.0526192981678199,0.045203630007860006
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w120 | day,0.1811668242657822,0.2586369172816149,0.07747009301583271
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w252 | c2c,-0.0324833044948535,-0.05595138097616,-0.0234680764813065
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w252 | o2o,-0.111861290534409,0.0078478091017744,0.11970909963618341
QNT-14 window grid,full | us_breakeven_5y5y|bdtanh|w252 | day,0.1348775738885595,0.2532001842236464,0.11832261033508687
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w60 | c2c,0.0761023770855284,0.0612510619413507,-0.014851315144177701
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w60 | o2o,-0.0178463554749351,0.0871165002138736,0.1049628556888087
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w60 | day,0.130450155460909,0.2697132176820321,0.1392630622211231
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w120 | c2c,-0.0466754777350246,-0.0654107566314418,-0.018735278896417205
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w120 | o2o,-0.1202261062930096,-0.0414575042876623,0.0787686020053473
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w120 | day,0.170766751077615,0.2897014118711037,0.11893466079348872
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w252 | c2c,-0.0027794347636302,-0.0254250954523491,-0.0226456606887189
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w252 | o2o,-0.0995645712650791,0.0370955601023214,0.13666013136740052
QNT-14 window grid,full | us_breakeven_5y5y|rankc|w252 | day,0.0997618696319121,0.2388432144842663,0.13908134485235418
QNT-14 window grid,full | us_breakeven_5y5y|signth|w60 | c2c,0.1675164054629101,0.2262681481755143,0.058751742712604194
QNT-14 window grid,full | us_breakeven_5y5y|signth|w60 | o2o,0.1168102435489438,0.2145491007659521,0.0977388572170083
QNT-14 window grid,full | us_breakeven_5y5y|signth|w60 | day,0.2398239905087002,0.299085947293792,0.0592619567850918
QNT-14 window grid,full | us_breakeven_5y5y|signth|w120 | c2c,-0.0285736206337287,-0.0653380137652668,-0.03676439313153809
QNT-14 window grid,full | us_breakeven_5y5y|signth|w120 | o2o,0.0129595048517571,-0.067205337536178,-0.0801648423879351
QNT-14 window grid,full | us_breakeven_5y5y|signth|w120 | day,0.1834015773917275,0.1780146324981173,-0.0053869448936101905
QNT-14 window grid,full | us_breakeven_5y5y|signth|w252 | c2c,0.0209581558155046,-0.006818308805113,-0.0277764646206176
QNT-14 window grid,full | us_breakeven_5y5y|signth|w252 | o2o,0.1479047853880935,-0.0013167795167453,-0.14922156490483882
QNT-14 window grid,full | us_breakeven_5y5y|signth|w252 | day,-0.0054755018889971,0.1035371700718159,0.109012671960813
QNT-14 window grid,full | us_breakeven_5y5y|dev|w60 | c2c,0.0300210000336339,0.0289727608492714,-0.0010482391843625004
QNT-14 window grid,full | us_breakeven_5y5y|dev|w60 | o2o,-0.0040705468083879,0.0342024229704998,0.0382729697788877
QNT-14 window grid,full | us_breakeven_5y5y|dev|w60 | day,0.1208289422168047,0.1652828473500963,0.0444539051332916
QNT-14 window grid,full | us_breakeven_5y5y|dev|w120 | c2c,-0.0111789914873336,-0.0151840501390507,-0.004005058651717101
QNT-14 window grid,full | us_breakeven_5y5y|dev|w120 | o2o,-0.0385339104794906,-0.0073073693291582,0.031226541150332396
QNT-14 window grid,full | us_breakeven_5y5y|dev|w120 | day,0.1551678254375858,0.1989447286628372,0.04377690322525138
QNT-14 window grid,full | us_breakeven_5y5y|dev|w252 | c2c,0.0351169758061201,0.0460806878841967,0.010963712078076594
QNT-14 window grid,full | us_breakeven_5y5y|dev|w252 | o2o,-0.0236278095348764,0.0815065680801495,0.10513437761502589
QNT-14 window grid,full | us_breakeven_5y5y|dev|w252 | day,0.1442323476167002,0.2322669512616005,0.08803460364490029
QNT-14 window grid,full | us_dgs5|selfz|w60 | c2c,-0.0331990570344042,0.1416496437090739,0.1748487007434781
QNT-14 window grid,full | us_dgs5|selfz|w60 | o2o,0.065811433811157,0.0091915517003526,-0.056619882110804404
QNT-14 window grid,full | us_dgs5|selfz|w60 | day,0.1669405295778939,0.0355365963433723,-0.1314039332345216
QNT-14 window grid,full | us_dgs5|selfz|w120 | c2c,0.1439440461716455,0.2422552682070655,0.09831122203542
QNT-14 window grid,full | us_dgs5|selfz|w120 | o2o,0.2325689844027483,0.165686105297723,-0.0668828791050253
QNT-14 window grid,full | us_dgs5|selfz|w120 | day,0.3641478682137017,0.2548554839498161,-0.1092923842638856
QNT-14 window grid,full | us_dgs5|selfz|w252 | c2c,0.1818272418486913,0.2366387953506704,0.05481155350197908
QNT-14 window grid,full | us_dgs5|selfz|w252 | o2o,0.272542061312483,0.1822224699606918,-0.09031959135179118
QNT-14 window grid,full | us_dgs5|selfz|w252 | day,0.3272487337785906,0.2023238708820631,-0.12492486289652749
QNT-14 window grid,full | us_dgs5|robustz|w60 | c2c,-0.0666930773108195,0.0617896110181682,0.12848268832898768
QNT-14 window grid,full | us_dgs5|robustz|w60 | o2o,0.0254980098301453,-0.0777775723655776,-0.1032755821957229
QNT-14 window grid,full | us_dgs5|robustz|w60 | day,0.1317499937160612,-0.0077117296866479,-0.1394617234027091
QNT-14 window grid,full | us_dgs5|robustz|w120 | c2c,0.0589289070939628,0.1213287057372517,0.0623997986432889
QNT-14 window grid,full | us_dgs5|robustz|w120 | o2o,0.1397766859274736,0.0435962239077852,-0.09618046201968841
QNT-14 window grid,full | us_dgs5|robustz|w120 | day,0.3397983876172489,0.2247854329705677,-0.11501295464668121
QNT-14 window grid,full | us_dgs5|robustz|w252 | c2c,0.1434002677571617,0.1800968592788111,0.03669659152164942
QNT-14 window grid,full | us_dgs5|robustz|w252 | o2o,0.182292275770263,0.136362402507788,-0.045929873262474996
QNT-14 window grid,full | us_dgs5|robustz|w252 | day,0.2128158826294192,0.1492029500116422,-0.06361293261777701
QNT-14 window grid,full | us_dgs5|bdtanh|w60 | c2c,-0.0201188432419343,0.2215567118168829,0.24167555505881722
QNT-14 window grid,full | us_dgs5|bdtanh|w60 | o2o,0.0664751812061141,0.0384697598108011,-0.028005421395313007
QNT-14 window grid,full | us_dgs5|bdtanh|w60 | day,0.1422361006433566,0.0258069549280093,-0.1164291457153473
QNT-14 window grid,full | us_dgs5|bdtanh|w120 | c2c,0.2049768191684536,0.3191465906370145,0.11416977146856092
QNT-14 window grid,full | us_dgs5|bdtanh|w120 | o2o,0.284324551763398,0.2267865960649669,-0.05753795569843109
QNT-14 window grid,full | us_dgs5|bdtanh|w120 | day,0.3855735568116067,0.2948813898151499,-0.09069216699645682
QNT-14 window grid,full | us_dgs5|bdtanh|w252 | c2c,0.2507505482558737,0.3162807317535316,0.06553018349765793
QNT-14 window grid,full | us_dgs5|bdtanh|w252 | o2o,0.3293094626673616,0.2571588642880476,-0.07215059837931403
QNT-14 window grid,full | us_dgs5|bdtanh|w252 | day,0.3937539655677715,0.2940756798565147,-0.09967828571125675
QNT-14 window grid,full | us_dgs5|rankc|w60 | c2c,-0.0321327101350686,0.2067428072325176,0.2388755173675862
QNT-14 window grid,full | us_dgs5|rankc|w60 | o2o,0.0641415493955436,0.0174229238336862,-0.04671862556185741
QNT-14 window grid,full | us_dgs5|rankc|w60 | day,0.1694296541205491,0.0097089969656878,-0.1597206571548613
QNT-14 window grid,full | us_dgs5|rankc|w120 | c2c,0.1218950928445571,0.3083841694553019,0.1864890766107448
QNT-14 window grid,full | us_dgs5|rankc|w120 | o2o,0.2394726157003712,0.1629275730726675,-0.0765450426277037
QNT-14 window grid,full | us_dgs5|rankc|w120 | day,0.3389022755938444,0.1897933823842311,-0.1491088932096133
QNT-14 window grid,full | us_dgs5|rankc|w252 | c2c,0.2204897052557431,0.3496860161722528,0.1291963109165097
QNT-14 window grid,full | us_dgs5|rankc|w252 | o2o,0.3430074827801926,0.2378368477395595,-0.10517063504063312
QNT-14 window grid,full | us_dgs5|rankc|w252 | day,0.4116017559274666,0.253117125733809,-0.1584846301936576
QNT-14 window grid,full | us_dgs5|signth|w60 | c2c,0.0025535887067188,0.2395711488939251,0.23701756018720632
QNT-14 window grid,full | us_dgs5|signth|w60 | o2o,-0.0222572272148866,0.0504768784609878,0.0727341056758744
QNT-14 window grid,full | us_dgs5|signth|w60 | day,0.07564256500593,0.0800903407233681,0.004447775717438096
QNT-14 window grid,full | us_dgs5|signth|w120 | c2c,0.2239141616608488,0.2437666399166526,0.0198524782558038
QNT-14 window grid,full | us_dgs5|signth|w120 | o2o,0.3124836088443087,0.2386479255768022,-0.0738356832675065
QNT-14 window grid,full | us_dgs5|signth|w120 | day,0.3787540533112372,0.2957887361321655,-0.08296531717907168
QNT-14 window grid,full | us_dgs5|signth|w252 | c2c,0.4078794239140322,0.2079558969530381,-0.1999235269609941
QNT-14 window grid,full | us_dgs5|signth|w252 | o2o,0.3325528853611353,0.2282284850270223,-0.104324400334113
QNT-14 window grid,full | us_dgs5|signth|w252 | day,0.2803765228676234,0.3247929765551043,0.04441645368748093
QNT-14 window grid,full | us_dgs5|dev|w60 | c2c,-0.0237905492782513,0.1060829618235329,0.1298735111017842
QNT-14 window grid,full | us_dgs5|dev|w60 | o2o,0.0430657212558105,0.0071878154114204,-0.0358779058443901
QNT-14 window grid,full | us_dgs5|dev|w60 | day,0.1687554823418621,0.081404942854322,-0.08735053948754011
QNT-14 window grid,full | us_dgs5|dev|w120 | c2c,0.2017939580505358,0.2678955102566079,0.06610155220607211
QNT-14 window grid,full | us_dgs5|dev|w120 | o2o,0.2488149567032251,0.2201072698431906,-0.028707686860034498
QNT-14 window grid,full | us_dgs5|dev|w120 | day,0.365947624815804,0.3071258972956672,-0.05882172752013681
QNT-14 window grid,full | us_dgs5|dev|w252 | c2c,0.2564447968760702,0.297007073850773,0.04056227697470283
QNT-14 window grid,full | us_dgs5|dev|w252 | o2o,0.3315165031665141,0.2557680596896149,-0.07574844347689919
QNT-14 window grid,full | us_dgs5|dev|w252 | day,0.3072490200548467,0.2004171706190375,-0.10683184943580923
QNT-14 window grid,full | us_dgs30|selfz|w60 | c2c,0.1142948976069852,-0.1083263432086561,-0.2226212408156413
QNT-14 window grid,full | us_dgs30|selfz|w60 | o2o,0.0332206468157052,0.0556684978589369,0.0224478510432317
QNT-14 window grid,full | us_dgs30|selfz|w60 | day,0.0657307337522993,-0.0949081773005391,-0.1606389110528384
QNT-14 window grid,full | us_dgs30|selfz|w120 | c2c,-0.0306211916611677,0.0255118309269765,0.056133022588144205
QNT-14 window grid,full | us_dgs30|selfz|w120 | o2o,0.0334073478409056,0.0169752380935144,-0.016432109747391198
QNT-14 window grid,full | us_dgs30|selfz|w120 | day,0.2743714275545119,0.209056033825632,-0.06531539372887987
QNT-14 window grid,full | us_dgs30|selfz|w252 | c2c,0.0088900416678763,0.040632368879863,0.03174232721198669
QNT-14 window grid,full | us_dgs30|selfz|w252 | o2o,0.067901640514466,0.0335373223015741,-0.034364318212891896
QNT-14 window grid,full | us_dgs30|selfz|w252 | day,0.2427061788839832,0.17144722028615,-0.07125895859783318
QNT-14 window grid,full | us_dgs30|robustz|w60 | c2c,0.1064787215892102,-0.1012828918617985,-0.2077616134510087
QNT-14 window grid,full | us_dgs30|robustz|w60 | o2o,0.0500561389406053,0.0577012334892952,0.007645094548689897
QNT-14 window grid,full | us_dgs30|robustz|w60 | day,-0.1579817584968203,-0.0873725123866373,0.070609246110183
QNT-14 window grid,full | us_dgs30|robustz|w120 | c2c,-0.0538753084429713,0.0055883947636054,0.0594637032065767
QNT-14 window grid,full | us_dgs30|robustz|w120 | o2o,0.0067825084570077,-0.0070039377204584,-0.013786446177466102
QNT-14 window grid,full | us_dgs30|robustz|w120 | day,0.2928351734469924,0.2213396805668957,-0.07149549288009668
QNT-14 window grid,full | us_dgs30|robustz|w252 | c2c,0.077225037376465,0.1078455070026653,0.03062046962620031
QNT-14 window grid,full | us_dgs30|robustz|w252 | o2o,0.1436000523527603,0.099402015280761,-0.044198037071999305
QNT-14 window grid,full | us_dgs30|robustz|w252 | day,0.327030625090086,0.2492375578254979,-0.07779306726458812
QNT-14 window grid,full | us_dgs30|bdtanh|w60 | c2c,0.1882223762041346,-0.1037303981835792,-0.2919527743877138
QNT-14 window grid,full | us_dgs30|bdtanh|w60 | o2o,0.1022742735817255,0.1122260137221517,0.009951740140426199
QNT-14 window grid,full | us_dgs30|bdtanh|w60 | day,-0.1200755961387043,-0.0396057245803645,0.0804698715583398
QNT-14 window grid,full | us_dgs30|bdtanh|w120 | c2c,-0.0256823156099199,0.0581132496687203,0.0837955652786402
QNT-14 window grid,full | us_dgs30|bdtanh|w120 | o2o,0.0208818480510197,0.0389041333442395,0.018022285293219798
QNT-14 window grid,full | us_dgs30|bdtanh|w120 | day,0.2559223903879341,0.2228226250623182,-0.03309976532561587
QNT-14 window grid,full | us_dgs30|bdtanh|w252 | c2c,0.0019727547118867,0.0441572658010113,0.0421845110891246
QNT-14 window grid,full | us_dgs30|bdtanh|w252 | o2o,0.0828924755721106,0.0339476038430579,-0.0489448717290527
QNT-14 window grid,full | us_dgs30|bdtanh|w252 | day,0.3105088476270466,0.211366631485416,-0.0991422161416306
QNT-14 window grid,full | us_dgs30|rankc|w60 | c2c,0.1280593954586356,-0.130239854750378,-0.25829925020901356
QNT-14 window grid,full | us_dgs30|rankc|w60 | o2o,0.0512962701309211,0.0814619952908626,0.030165725159941495
QNT-14 window grid,full | us_dgs30|rankc|w60 | day,-0.1657603425881736,-0.091527276284381,0.0742330663037926
QNT-14 window grid,full | us_dgs30|rankc|w120 | c2c,-0.0290175156375123,0.0651341113744283,0.0941516270119406
QNT-14 window grid,full | us_dgs30|rankc|w120 | o2o,0.0565790601112201,0.0275428330662243,-0.029036227044995803
QNT-14 window grid,full | us_dgs30|rankc|w120 | day,0.3022212655028022,0.2104417189221354,-0.09177954658066681
QNT-14 window grid,full | us_dgs30|rankc|w252 | c2c,0.0445473461435488,0.0859127770010259,0.0413654308574771
QNT-14 window grid,full | us_dgs30|rankc|w252 | o2o,0.1369650954651218,0.0775198510556699,-0.05944524440945191
QNT-14 window grid,full | us_dgs30|rankc|w252 | day,0.3637497204288584,0.2488743419636195,-0.1148753784652389
QNT-14 window grid,full | us_dgs30|signth|w60 | c2c,0.2598415999855138,-0.0771409203252076,-0.3369825203107214
QNT-14 window grid,full | us_dgs30|signth|w60 | o2o,0.1010954099258841,0.1935019071176346,0.0924064971917505
QNT-14 window grid,full | us_dgs30|signth|w60 | day,-0.1072127687878015,0.0675228647277566,0.1747356335155581
QNT-14 window grid,full | us_dgs30|signth|w120 | c2c,0.0421984510023225,0.0581167649556179,0.015918313953295397
QNT-14 window grid,full | us_dgs30|signth|w120 | o2o,0.0908609730218886,0.0282606229470944,-0.0626003500747942
QNT-14 window grid,full | us_dgs30|signth|w120 | day,0.2931288768714543,0.2127833724927124,-0.08034550437874188
QNT-14 window grid,full | us_dgs30|signth|w252 | c2c,0.038477250166876,0.1410536504562352,0.10257640028935919
QNT-14 window grid,full | us_dgs30|signth|w252 | o2o,0.1037185838048927,0.1074251124878292,0.0037065286829364996
QNT-14 window grid,full | us_dgs30|signth|w252 | day,0.3126334080966588,0.2341967830238148,-0.07843662507284399
QNT-14 window grid,full | us_dgs30|dev|w60 | c2c,0.0543610364335103,-0.0532812113139049,-0.1076422477474152
QNT-14 window grid,full | us_dgs30|dev|w60 | o2o,0.0123829686147856,0.008581575626973,-0.0038013929878125997
QNT-14 window grid,full | us_dgs30|dev|w60 | day,-0.1554021436986726,-0.1179924402853781,0.03740970341329451
QNT-14 window grid,full | us_dgs30|dev|w120 | c2c,0.080046527343571,0.1208458791335826,0.04079935179001161
QNT-14 window grid,full | us_dgs30|dev|w120 | o2o,0.1174708614952861,0.109936931972558,-0.0075339295227281056
QNT-14 window grid,full | us_dgs30|dev|w120 | day,0.287601005499002,0.2491101668328291,-0.03849083866617292
QNT-14 window grid,full | us_dgs30|dev|w252 | c2c,0.1407251481662283,0.1824275659339991,0.04170241776777078
QNT-14 window grid,full | us_dgs30|dev|w252 | o2o,0.1856028822523421,0.174061728411423,-0.011541153840919083
QNT-14 window grid,full | us_dgs30|dev|w252 | day,0.2762491603421919,0.2239938048212322,-0.05225535552095967
QNT-14 window grid,full | us_term_premium_10y|selfz|w60 | c2c,-0.0464722406585643,0.1118212439530983,0.1582934846116626
QNT-14 window grid,full | us_term_premium_10y|selfz|w60 | o2o,0.0074745986391451,0.0031943000353231,-0.004280298603822
QNT-14 window grid,full | us_term_premium_10y|selfz|w60 | day,0.0727704370304257,-0.0009334718287124,-0.07370390885913809
QNT-14 window grid,full | us_term_premium_10y|selfz|w120 | c2c,0.1199359391982325,0.2229575488382952,0.10302160964006268
QNT-14 window grid,full | us_term_premium_10y|selfz|w120 | o2o,0.1788474605418209,0.1684390946411393,-0.010408365900681615
QNT-14 window grid,full | us_term_premium_10y|selfz|w120 | day,0.2340330750062535,0.152560625777056,-0.0814724492291975
QNT-14 window grid,full | us_term_premium_10y|selfz|w252 | c2c,0.2261604135982222,0.2659506902031341,0.03979027660491191
QNT-14 window grid,full | us_term_premium_10y|selfz|w252 | o2o,0.3083698148264525,0.2421464015686049,-0.06622341325784759
QNT-14 window grid,full | us_term_premium_10y|selfz|w252 | day,0.2682510221577878,0.1548041011506462,-0.1134469210071416
QNT-14 window grid,full | us_term_premium_10y|robustz|w60 | c2c,-0.0301703422761863,0.0998005588101264,0.1299709010863127
QNT-14 window grid,full | us_term_premium_10y|robustz|w60 | o2o,0.0507195712337447,0.0071538640281493,-0.043565707205595404
QNT-14 window grid,full | us_term_premium_10y|robustz|w60 | day,0.0488538754617842,-0.0289125140698923,-0.0777663895316765
QNT-14 window grid,full | us_term_premium_10y|robustz|w120 | c2c,0.1055712507271692,0.2025700896322679,0.09699883890509871
QNT-14 window grid,full | us_term_premium_10y|robustz|w120 | o2o,0.1834083654507119,0.1303555322466417,-0.0530528332040702
QNT-14 window grid,full | us_term_premium_10y|robustz|w120 | day,0.3111018852668258,0.1902717838567342,-0.1208301014100916
QNT-14 window grid,full | us_term_premium_10y|robustz|w252 | c2c,0.2233812483627932,0.2534407786548299,0.0300595302920367
QNT-14 window grid,full | us_term_premium_10y|robustz|w252 | o2o,0.2736415277142469,0.230490702515988,-0.043150825198258885
QNT-14 window grid,full | us_term_premium_10y|robustz|w252 | day,0.2968283602911598,0.2260213215296182,-0.07080703876154157
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w60 | c2c,-0.069536667150157,0.1458551631097943,0.2153918302599513
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w60 | o2o,-0.0178041900444982,-0.0183662710946323,-0.0005620810501340973
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w60 | day,-0.0944475432487778,-0.0198391038640496,0.07460843938472819
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w120 | c2c,0.1583442065297909,0.256056209195669,0.09771200266587812
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w120 | o2o,0.2274084161826979,0.1873731610915678,-0.040035255091130095
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w120 | day,0.2695040057374459,0.1718919271664765,-0.09761207857096937
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w252 | c2c,0.2202737298841336,0.2425887558307512,0.022315025946617606
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w252 | o2o,0.3138624154222558,0.2287810392235999,-0.08508137619865588
QNT-14 window grid,full | us_term_premium_10y|bdtanh|w252 | day,0.2924142413353659,0.165997475650316,-0.12641676568504992
QNT-14 window grid,full | us_term_premium_10y|rankc|w60 | c2c,-0.0441011851866872,0.1230970139086589,0.1671981990953461
QNT-14 window grid,full | us_term_premium_10y|rankc|w60 | o2o,0.0001156379885085,-0.0163220640558569,-0.0164377020443654
