combo,n_legs,SR_IS,SR_OOS,SR_full,SR_gross,SR_stub,SR_3xreal,SR_of_SR,positive_years,yr_sr_min,yr_sr_mean,yr_sr_std,n_years,beta,mean_pos,max_dd_days,max_dd_pct,turnover_ann,held_pct,SR_of_SR_IS,SR_of_SR_OOS,posyr_IS,posyr_OOS,gate_srsr,gate_posyr,gate_beta,gate_nyr,n_gates,OOS_minus_IS
igrea,1,0.522,0.606,0.545,0.554,0.551,0.528,0.494,0.692,-0.894,0.628,1.27,26,-0.031,0.05392387266180022,1557,-28.38,6.84,99.25,0.469,0.552,0.667,0.75,False,True,True,True,3,0.08399999999999996
epu_global,1,0.492,0.082,0.372,0.383,0.38,0.351,0.439,0.68,-1.932,0.412,0.938,25,-0.023,0.05351222067508621,1367,-31.12,7.88,99.29,0.592,0.252,0.706,0.625,False,True,True,True,3,-0.41
kr_kospi,1,0.379,0.683,0.455,0.461,0.459,0.442,0.306,0.654,-1.586,0.375,1.225,26,-0.043,0.023851694633722036,3838,-49.68,5.01,99.17,0.152,0.62,0.611,0.75,False,True,True,True,3,0.30400000000000005
EW(igrea+epu_global),2,0.602,0.442,0.554,0.566,0.562,0.53,0.538,0.64,-1.187,0.561,1.043,25,-0.041,0.05101725631662941,1055,-24.03,7.01,97.78,0.545,0.493,0.647,0.625,False,False,True,True,2,-0.15999999999999998
EW(igrea+kr_kospi),2,0.65,0.791,0.69,0.7,0.697,0.672,0.395,0.692,-1.978,0.564,1.428,26,-0.042,0.03991059760528268,2502,-28.81,5.66,97.55,0.274,0.786,0.611,0.875,False,True,True,True,3,0.14100000000000001
EW(epu_global+kr_kospi),2,0.488,0.452,0.477,0.486,0.483,0.459,0.362,0.56,-1.185,0.351,0.971,25,-0.072,0.030795302781914738,2852,-32.18,5.77,98.94,0.295,0.468,0.529,0.625,False,False,True,True,2,-0.035999999999999976
EW(igrea+epu_global+kr_kospi),3,0.599,0.618,0.605,0.615,0.612,0.583,0.542,0.76,-1.288,0.511,0.941,25,-0.065,0.037993526244913894,2414,-19.71,5.81,98.64,0.471,0.653,0.765,0.75,False,True,True,True,3,0.019000000000000017
