date,igrea,epu_global,kr_kospi,EW(igrea+epu_global+kr_kospi)
2001,4.574500884889699,,1.4552667367105792,
2002,0.8179677807283688,0.16934780442823172,1.0252143962232718,0.9708247563146447
2003,0.4397518287606316,1.7060423487871095,0.45671778249724077,1.2554893255740864
2004,0.5416508428024129,0.823859164215099,0.023323683592484958,0.6951957061604265
2005,0.4103324452808021,0.26239713693890226,-0.5761079736490704,-0.041550564442328713
2006,1.5795851750708234,2.0589192050146563,-1.5861051136837738,1.2630523303285308
2007,0.005654526134005183,-0.13871424348531258,0.8189415306732963,0.5586547924074653
2008,0.3806550657004982,0.11699862370885487,1.0622780460146295,0.5551771336158268
2009,2.202464864046028,1.3529524186934767,3.069120709716234,2.582059096400117
2010,-0.5244559348944434,0.23545591544539426,-1.1791632041392952,-0.6983705056158346
2011,-0.8387757725705208,0.7131317742576855,0.42754803291297794,0.26974299763449244
2012,2.048756239107386,-0.6950858287126161,-1.0411499755755156,0.14862277296867243
2013,1.6894767699695776,-0.2042294257543144,-0.803772093992795,0.3275672096160816
2014,-0.8941946170261613,0.044308517270045845,-0.9423783284366537,-1.2878309214995736
2015,-0.5079728328802708,-0.20574306746771528,-0.49844976646063666,-0.982762572553649
2016,0.9038060960725672,-0.35354937601445213,0.010837054084807058,0.29580902629548644
2017,-0.6979843764584825,0.6470348397476181,1.278741729822124,0.7523010340112175
2018,-0.4182447081982939,1.1514132796947618,0.18648362245550026,0.5839763783834694
2019,0.27651374085978436,1.671904528250379,0.5422692713875307,1.2242683587957146
2020,0.6440645855966803,-1.9321381680936593,0.15455482122037376,-0.42427379393343834
2021,-0.05046165635900612,0.8355543587484292,0.6148880747614383,0.6053522379383769
2022,0.8343643318206209,0.09758791746864537,-0.42484972041865243,0.33565146893170494
2023,0.782061703110568,1.2726757066026761,1.7536802200436703,1.732012224075951
2024,-0.7468751541991279,-0.43251599547720704,-0.9920915147726102,-0.8547868161317748
2025,2.811749315838984,1.7572493789396408,1.8913673115876706,2.316972952011511
2026,0.05382176585729602,-0.6651319891610512,3.018089418288792,0.5798246774554167
