cand,variant,mine,ref,diff
us_dgs5|robustz|w252,c2c,0.1742,0.1801,-0.0059
us_dgs5|bdtanh|w60,c2c,0.218,0.2216,-0.0035
us_dgs5|bdtanh|w120,c2c,0.3145,0.3191,-0.0046
us_dgs5|bdtanh|w252,c2c,0.3102,0.3163,-0.0061
us_dgs5|rankc|w60,c2c,0.2038,0.2067,-0.0029
us_dgs5|rankc|w120,c2c,0.3039,0.3084,-0.0045
us_dgs5|rankc|w252,c2c,0.3437,0.3497,-0.006
us_dgs5|signth|w60,c2c,0.235,0.2396,-0.0046
us_dgs5|signth|w120,c2c,0.2389,0.2438,-0.0049
us_dgs5|signth|w252,c2c,0.2017,0.208,-0.0062
us_dgs5|dev|w60,c2c,0.105,0.1061,-0.0011
us_dgs5|dev|w120,c2c,0.2637,0.2679,-0.0042
us_dgs5|dev|w252,c2c,0.2908,0.297,-0.0062
us_dgs30|selfz|w60,c2c,-0.1105,-0.1083,-0.0022
us_dgs30|selfz|w120,c2c,0.0214,0.0255,-0.0041
us_dgs30|selfz|w252,c2c,0.0348,0.0406,-0.0058
us_dgs30|robustz|w60,c2c,-0.1046,-0.1013,-0.0033
us_dgs30|robustz|w120,c2c,0.0013,0.0056,-0.0043
us_dgs30|robustz|w252,c2c,0.101,0.1078,-0.0069
us_dgs30|bdtanh|w60,c2c,-0.1071,-0.1037,-0.0034
us_dgs30|bdtanh|w120,c2c,0.0535,0.0581,-0.0047
us_dgs30|bdtanh|w252,c2c,0.0387,0.0442,-0.0054
us_dgs30|rankc|w60,c2c,-0.1321,-0.1302,-0.0018
us_dgs30|rankc|w120,c2c,0.061,0.0651,-0.0042
us_dgs30|rankc|w252,c2c,0.0806,0.0859,-0.0053
us_dgs30|signth|w60,c2c,-0.0815,-0.0771,-0.0043
us_dgs30|signth|w120,c2c,0.0536,0.0581,-0.0045
us_dgs30|signth|w252,c2c,0.1363,0.1411,-0.0047
us_dgs30|dev|w60,c2c,-0.0573,-0.0533,-0.004
