panel,feature,n,corr_same_day,IC_2009_2013,IC_2014_2018,IC_2019_2022,IC_2023_2026,IC_sign_agree
monthly,put_oi_total,4335,-0.0033190147836239187,-0.0678138729329743,0.01039049623449137,-0.0021566828886532556,-0.034373233074033054,0.75
monthly,put_cog,4335,-0.2653044255359836,-0.0059559269446398284,-0.0021721014785494983,-0.013889083779625623,-0.043993626181225175,1.0
monthly,put_disp,4335,0.01159761866358181,0.008728387114955303,0.016518524961696562,0.06345973299919747,0.052578390780144646,1.0
monthly,put_otm_share,4335,0.3447745959094323,-0.031093514562689318,0.006830850812168348,-0.028421348810190622,-0.0228936237930413,0.75
monthly,put_far_share,4335,0.3005011486087452,0.025797140790114456,-0.0009074192841545287,0.008639772825878135,0.049184231455889973,0.75
monthly,put_wall,4335,-0.11510663647972015,-0.013558342784259885,-0.03205255922984336,0.018391371837622225,-0.045406808408775305,0.75
monthly,put_front_share,4335,0.01468389692808681,0.0007553389761592268,-0.014483900466155969,-0.015475409108662993,0.0032526814607683127,0.5
monthly,put_churn,4335,-0.08972675107084081,0.04850548573973918,0.010151948182530549,-0.03524288274417002,-0.013903803621362973,0.5
monthly,put_oi_growth,4334,0.048296164391141545,0.007579269057112725,0.034381777135765575,-0.005056251707411744,-0.015307611505778442,0.5
monthly,put_cog_chg,4334,-0.6866501398115836,0.023921944658334592,-0.014794934158480263,-0.005699786817735547,0.00851436083345571,0.5
monthly,put_far_chg,4334,0.5521918868330069,-0.00872653947842804,-2.203702534102327e-05,0.020034096474845747,0.01524078433205169,0.5
all,put_oi_total,4335,0.018205329898713544,-0.06949117051529968,-0.004408504010506787,-0.0025939887358580028,-0.017847166689586587,1.0
all,put_cog,4335,-0.2892759097971507,-0.0030093598101261485,-0.02609153741073008,-0.02166921635220761,-0.019316962098245235,1.0
all,put_disp,4335,0.002111883798163395,0.007533591364821098,0.012299084277722161,0.05079861205540635,0.044632603096196884,1.0
all,put_otm_share,4335,0.4497474059130509,-0.030488079498750247,0.01962095867140008,-0.02789878213888454,-0.025145372494989913,0.75
all,put_far_share,4335,0.2593910287539639,0.02045950219328089,0.036459899654383184,0.03379427249762853,0.01523097275276336,1.0
all,put_wall,4335,-0.10034709633786029,-0.01563754955743196,-0.04672238850377542,-0.010786547637891787,0.03175480908831025,0.75
all,put_front_share,4335,0.002982626040644159,-0.001737527861597262,0.007013437694894582,-0.029022241998137747,-0.009654834010669144,0.75
all,put_churn,4335,-0.08298610828111322,0.05825482902873221,-0.026857445248202202,-0.02497605803489494,0.047656003651586495,0.5
all,put_oi_growth,4334,0.12268174986269903,0.010415910663654765,-0.025280017003352927,-0.031430208722156454,0.015029336928137417,0.5
all,put_cog_chg,4334,-0.6074090590753309,0.02833249425099204,-0.04431046226088468,-0.07773121009724762,0.02411622352593024,0.5
all,put_far_chg,4334,0.4768085498543477,-0.013708935314315556,0.02419252632644406,0.08150355701705063,-0.01597236786437047,0.5
