event,offset,hold,window,cell,sign,SR_IS,SR_OOS,full_SR_net,full_SR_of_SR,full_positive_years,full_yr_sr_min,full_n_years,full_beta,full_abs_exec_w,full_turnover_ann,full_held_pct,full_n_bars
CPI,-2,1,c2c,CPI|off-2|h1|c2c,1,0.2630472588130568,0.6239820029495381,0.4019704393497484,0.5229936768836835,0.7647058823529411,-1.4105717811427592,17,0.02505854657886877,0.031819635433322675,16.037096258394627,3.1819635433322677,6254
CPI,-2,1,o2o,CPI|off-2|h1|o2o,1,0.1977568184158434,0.47108708740629235,0.3036010835217122,0.5812657736926334,0.7647058823529411,-1.0829963054908796,17,0.020923579941290415,0.031819635433322675,16.037096258394627,3.1819635433322677,6254
CPI,-2,1,day,CPI|off-2|h1|day,1,-0.06178493486171158,-0.3873250544419532,-0.18720094848338198,-0.17296336370593174,0.35294117647058826,-1.2464961698220423,17,0.015644157588368224,0.03181454836131095,16.03453237410072,3.181454836131095,6255
CPI,-2,1,ongap,CPI|off-2|h1|ongap,-1,0.5414486535216265,-0.9736984159428463,-0.17041221934769718,-0.86012077172646,0.2,-2.1355748634825664,10,-0.04691225659695286,0.04858657243816254,24.487632508833922,4.858657243816254,2264
CPI,-2,1,night,CPI|off-2|h1|night,1,0.1889367672389741,0.5827653100890604,0.5341519247761046,0.5308407910087994,0.7,-1.3866822801214163,10,0.09009209189454093,0.04858657243816254,24.487632508833922,4.858657243816254,2264
CPI,-2,2,c2c,CPI|off-2|h2|c2c,1,0.3049142230908852,0.8771253830358297,0.5278935524763297,0.7423019929866979,0.7647058823529411,-0.9722333665390942,17,0.039571151854192306,0.06363927086664535,16.037096258394627,6.363927086664535,6254
CPI,-2,2,o2o,CPI|off-2|h2|o2o,1,0.3231846625951838,0.4827964090490545,0.37099258782302863,0.5573834210345342,0.7647058823529411,-1.5209790415679658,17,0.04806468457886196,0.06363927086664535,16.037096258394627,6.363927086664535,6254
CPI,-2,2,day,CPI|off-2|h2|day,1,0.0492856843644877,-0.23669267442852232,-0.06641834735166073,-0.10836124404351727,0.5294117647058824,-1.9524026227227782,17,0.034074346211750664,0.0636290967226219,16.03453237410072,6.36290967226219,6255
CPI,-2,2,ongap,CPI|off-2|h2|ongap,1,-0.062107112168070445,0.48725913859132775,0.3260852692100821,0.395558687670453,0.6,-0.8096247084704307,10,0.1157323296928347,0.09717314487632508,24.598939929328623,9.717314487632509,2264
CPI,-2,2,night,CPI|off-2|h2|night,1,0.824182850148769,0.7760044069587794,0.7428889304395926,0.8773372561921204,0.8,-0.5416728130985017,10,0.15557202926048452,0.09717314487632508,24.598939929328623,9.717314487632509,2264
