event,cells,med_SR,best_SR,med_IS,med_OOS,n_gate
CPI,96,0.017241011045615817,0.4824028850557192,0.08826223739376235,-0.05314242704510589,3
GDP_advance,45,0.04370883487336387,0.32136931962606896,0.07188845827354726,0.07005781205837418,1
JOLTS,48,-0.036339723700974214,0.40727764266789,0.08324719395846723,-0.1560291223492848,0
NFP,96,0.08685777073022216,0.4659439128547055,0.15667357387764064,0.0014344355297046685,4
PCE,48,0.08334328573567029,0.5647267431076372,0.08510906292126902,0.14155275749667265,1
PPI,48,0.10660776382779699,0.30072752885446186,0.14953520264698908,0.06501762666549214,1
case_shiller,48,-0.02345636790277658,0.25384114245057104,0.21388551148870635,-0.17104244290888082,0
claims,48,0.03667313982953757,0.45505217125765335,0.0447258975577723,0.03700822795070157,5
durable_goods,48,0.0894328152789188,0.5281707693491557,0.2557632545921043,-0.010198397431815873,3
housing_starts,48,0.04003717593513788,0.3023770564080778,0.2295730670504358,-0.07387039571696413,0
industrial_production,48,0.08124286278857876,0.3345259656084132,0.19939381246784157,-0.06586022033391398,0
new_home_sales,48,-0.20558884053217455,0.4431121948756801,0.09667322442069702,-0.4761863597895197,0
retail_sales,48,-0.05847506432118603,0.38271131531145614,0.21862898978165063,-0.35819296429422764,0
trade_balance,48,0.09536414448978292,0.5561198483494274,0.13435871426233575,0.08483358642713826,1
umich_sentiment,48,0.08553216670743141,0.3329622314450304,0.12933460204597794,0.12649373799006994,0
