event,offset,window,n_ev,mean_bps,base_bps,diff_bps,t,p,pos_years,n_years,ann_SR_if_traded
durable_goods,2,day,199,15.935593364866692,-0.006827956922841164,15.942421321789533,3.044564141188937,0.002608706807950761,0.7058823529411765,17,3.533004149676463
GDP_advance,2,day,67,23.636880232714937,0.3885948447526345,23.248285387962305,2.785744519359633,0.006886526003653589,0.7647058823529411,17,5.556896977985544
NFP,-2,night,109,25.470488762285896,4.719870603138304,20.750618159147592,2.6995584056746367,0.00795058295447644,0.9,10,5.16713624238457
FOMC,2,night,75,-18.06918845498228,6.533939497019588,-24.60312795200187,-2.6663935559108154,0.009290839878215253,0.4,10,-3.6514739614055647
PCE,2,day,198,13.270645864485301,0.13305933756951724,13.137586526915785,2.5837009156177686,0.010407397538119593,0.7058823529411765,17,3.043744227119334
retail_sales,-1,night,111,25.864558731309824,4.680277940397964,21.184280790911863,2.5917046185264137,0.01073370370696543,0.9,10,4.874294799452542
durable_goods,1,ongap,110,9.11577597756642,1.0814982033535812,8.034277774212839,2.4273372712059795,0.01655810789950577,0.8,10,4.374006538354605
GDP_advance,0,night,37,42.577554296621464,5.106526679783212,37.47102761683825,2.492655644973493,0.017294495737875202,0.9,10,7.437902744190587
umich_sentiment,0,day,197,12.976698025899701,0.15133700948314707,12.825361016416554,2.344116970111638,0.01996545157943742,0.6470588235294118,17,2.7596802150920183
case_shiller,-2,ongap,111,12.449143369819382,0.9059115529521451,11.543231816867237,2.2994341848851945,0.023224684929246887,0.8,10,3.8103379994393958
umich_sentiment,2,day,197,11.106689318522864,0.2461123414495059,10.86057697707336,2.281969661479017,0.02341213937554297,0.7058823529411765,17,2.742458084464048
umich_sentiment,0,c2c,197,25.181163438003637,5.7893559380485655,19.39180749995507,2.277493548616223,0.023734275203085582,0.8235294117647058,17,3.4284039893274088
housing_starts,2,day,194,12.439081873858568,0.188039738672152,12.251042135186417,2.2358413448326817,0.026384636774520243,0.8235294117647058,17,2.661540965524959
FOMC,2,c2c,94,-28.404455078203448,7.55236453780266,-35.95681961600611,-2.2475313518115367,0.026908093379076504,0.4166666666666667,12,-2.9261518100870365
durable_goods,2,c2c,199,22.65189327035489,5.908928949210004,16.742964321144882,2.2170505794964046,0.027620437715729976,0.8235294117647058,17,3.4849650676608905
case_shiller,1,ongap,111,9.765725437727966,1.044257763106417,8.721467674621548,2.105304101954007,0.037285192665983284,0.9,10,3.6589630370550585
industrial_production,-1,night,110,19.1724895392594,5.0318619199320676,14.140627619327331,1.9784379822047788,0.050120152972256214,0.9,10,4.182012051288784
claims,-1,day,518,-5.25618247424971,1.6453614662435736,-6.9015439404932835,-1.9015198412829226,0.05764896385250395,0.36363636363636365,11,-1.0875027107750608
PPI,-1,ongap,109,8.196148812717926,1.1317411911692186,7.064407621548707,1.8746599180705483,0.06317545911570896,0.8,10,3.429638446825631
industrial_production,1,night,110,-5.275935440618218,6.280388729489421,-11.556324170107638,-1.8634769391818202,0.06468748466074496,0.4,10,-1.340466863949296
