series,n_cells,mean_abs_corr,n_eff_positions,loc_vs_swap_corr
cny_usd,144,0.2730857133386105,6.8758816316445355,0.7590760480967358
us_dxy_broad,144,0.2945402163035834,5.859630118030588,0.5320668167672907
us_dgs30,144,0.27238065193201266,6.188093158076372,0.7429394292647166
twd_usd,144,0.28841463521901306,5.934318037906897,0.5388204917403069
kr_kospi,144,0.32399210803372097,5.042066073721511,0.7510132968658931
us_semi_ip,144,0.3281305002729396,4.860953830013679,0.8911085416139565
us_semi_ip_nsa,144,0.31165490464772694,5.197974900422431,0.8892927909889087
copper,144,0.3221555251608938,5.201110027007512,0.9134486514892256
epu_global,144,0.3212464074998968,5.40885249749852,0.7454002025999026
us_empire_state,144,0.28307111101439714,5.82586856962489,0.8370478145663138
igrea,144,0.3022929490747089,5.685966337143818,0.8741878668030899
krw_usd,144,0.2855042768235158,5.972086409753857,0.8476535123138823
wti,144,0.28394327315216306,6.032584245412853,0.8150480709966772
us_cfnai,144,0.2955632319444191,5.536742643393163,0.5559299903697621
cn_exports,144,0.27784838943959317,6.186358483960437,0.7189787001426861
us_recession_prob,144,0.30977718915161023,6.008846908677713,0.49738159016060696
us_dgs5,144,0.26956330362743475,6.218128823346898,0.7770610450598564
us_real_10y,144,0.2762228994461395,6.2542844438761005,0.47190074001357873
us_stlfsi,144,0.30491847122814325,5.735494879601282,0.5116657880506154
